samplingPoint.notation,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER
SW-70230910,SWWA 2412,1,2,1
SW-72923754,SWWA 2497,1,2,1
SW-82511449,SWWA 310,1,1,1
SW-81222210,SWWA 425,1,1,1
SW-82111524,NRA-SW-5099,1,1,1
SW-70514529,NRA-SW-5226,1,1,1
SW-81111203,NRA-SW-5289,1,1,1
SW-73040282,SWWA 633,1,1,1
SW-70241134,SWWA 654,1,1,1
SW-70230638,SWWA 678,1,1,1
SW-73010346,NRA-SW-7426,1,1,1
SW-70813383,SWWA 852,1,1,1
SW-70515520,NRA-SW-2119,1,1,1
SW-70614685,NRA-SW-2224,1,1,1
SW-81940591,NRA-SW-0160,1,1,1
SW-72923054,NRA-SW-5674,1,1,1
SW-70620129,NRA-SW-5680,1,1,1
SW-70621706,NRA-SW-5699,1,1,1
SW-70621615,NRA-SW-5700,1,1,1
SW-70230203,NRA-SW-3868,1,1,1
SW-70240454,NRA-SW-6909,1,1,1
SW-82528028,NRA-SW-4018,1,1,1
SW-73070226,NRA-SW-4025,1,1,1
SW-70244404,NRA-SW-4064,1,1,1
SW-70813017,NRA-SW-6962,1,1,1
SW-91241991,NRA-SW-6966,1,1,1
SW-72811036,NRA-SW-6967,1,1,1
SW-81611122,NRA-SW-7147,1,1,1
SW-81611046,NRA-SW-7148,1,1,1
SW-70240885,SWWA 409,1,1,1
SW-70711703,NRA-SW-7272,1,1,1
SW-72940610,SWWA 545,1,1,1
SW-70541084,SWWA 565,1,1,1
SW-70531292,SWWA 615,1,1,1
SW-73080109,NRA-SW-1714,1,1,1
SW-82514030,NRA-SW-1813,1,1,1
SW-70822043,NRA-SW-5246,1,1,1
SW-81523324,SWWA 716,1,1,1
SW-81916091,SWWA 725,1,1,1
SW-70242178,SWWA 739,1,1,1
SW-82220582,SWWA 745,1,1,1
SW-73115187,NRA-SW-5522,1,1,1
SW-81251505,NRA-SW-5634,1,1,1
SW-70630178,NRA-SW-7550,1,1,1
SW-82510685,NRA-SW-7594,1,1,1
SW-70620125,NRA-SW-5730,1,1,1
SW-81610562,NRA-SW-5779,1,1,1
SW-70420725,NRA-SW-6317,1,1,1
SW-81611184,NRA-SW-5798,1,1,1
SW-70533958,NRA-SW-5802,1,1,1
SW-70610250,NRA-SW-5811,1,1,1
SW-70813949,NRA-SW-5842,1,1,1
SW-70721478,NRA-SW-7808,1,1,1
SW-70550338,NRA-SW-7871,1,1,1
SW-70611583,NRA-SW-6019,1,1,1
SW-60090085,020218,1,1,1
SW-60031395,101543,1,1,1
SW-60033346,081928,2,1,1
SW-81219903,302613,1,1,1
SW-73010354,002491/FU/01,5,1,1
SW-73215139,202404,2,1,1
SW-81929905,302828,1,1,1
SW-81229903,302655,1,1,1
SW-50330639,401159,1,1,1
SW-50250244,400574,1,1,1
SW-Z1012103,101637,1,1,1
SW-73070388,SWWA 623,2,1,1
SW-81950781,301119,4,1,1
SW-50280001,400586,1,1,1
SW-81121209,301312,2,1,1
SW-82528081,301288,1,1,1
SW-C1477900,400908,1,1,1
SW-82110020,301080,1,1,1
SW-70422032,201336,1,1,1
SW-70920804,201332,1,1,1
SW-70230138,201259,2,1,1
SW-50360143,050899,1,1,1
SW-70622014,NRA-SW-3019,1,1,1
SW-70723026,NRA-SW-3026,1,1,1
SW-70581110,NRA-SW-6099,1,1,1
SW-72923754,201276,1,1,1
SW-60030340,101125,1,1,1
SW-73024690,201178,1,1,1
SW-50341481,401251,1,1,1
SW-81201476,300656,1,1,1
SW-50340037,400854,1,1,1
SW-81410450,300914,1,1,1
SW-60530001,101365/TR/01,1,1,1
SW-C4404700,041352,2,1,2
SW-82311346,302457,1,1,1
SW-70813944,202412,1,1,1
SW-81810010,300671/PA,1,1,1
SW-70231710,200852,1,1,1
SW-81950014,300875/PA,2,1,1
SW-81916096,301452,1,1,1
SW-81810195,301269,2,1,1
SW-50570230,400948,1,1,1
SW-81110330,NRA-SW-6977,2,1,1
SW-60590419,100935,1,1,1
SW-70723353,201049,1,1,1
SW-50540164,042698,2,1,1
SW-70591251,201051,2,1,1
SW-60010154,101438,1,1,1
SW-70501779,201022,1,1,1
SW-60101055,100908,1,1,1
SW-70531787,200927,1,1,1
SW-81714844,031299/FN/01,2,1,1
SW-70550126,201437,1,1,1
SW-50540162,042698,2,2,1
SW-81219902,302583,1,1,1
SW-81219908,302585,1,1,1
SW-81219913,302591,1,1,1
SW-70310050,202436,2,1,1
SW-50340501,401339,1,1,1
SW-Z6540105,010084,2,1,1
SW-50220811,401338,1,1,1
SW-81520533,302173,1,1,1
SW-82518037,301951,1,1,1
SW-B3130299,101509,1,1,1
SW-50370229,401065,2,1,1
SW-60010603,100930,2,1,1
SW-E0910049,100386,2,1,1
SW-81410450,300914,2,1,1
SW-H1210290,300454/FU/01,2,1,1
SW-70514504,003174/FU/02,2,1,1
SW-70314519,200834,2,1,1
SW-50230320,401432,1,1,1
SW-60250688,101450,1,1,1
SW-73015033,202081,1,1,1
SW-81210877,301302,5,1,1
SW-6WXE0328,101712,1,1,1
SW-70620159,NRA-SW-5677,3,1,1
SW-73010855,202367,2,1,1
SW-70522656,NRA-SW-6170,2,1,1
SW-72940786,200933,1,1,1
SW-81220140,301142,2,1,1
SW-82713336,300409/FN/02,2,1,1
SW-70826009,004373,2,2,1
SW-73080561,200321/TF/01,2,9,1
SW-50830285,400975,1,1,1
SW-50320568,401402,1,1,1
SW-81219907,302590,1,1,1
SW-72922457,200928,1,1,1
SW-81251817,WS 157/5/41,1,1,1
SW-72923165,200440,1,1,1
SW-70551356,201091,1,1,1
SW-E2060610,100645,2,1,1
SW-A2270303,010059,1,1,1
SW-50210329,041322,2,1,1
SW-70220812,201183,1,1,1
SW-70314519,200834,1,1,1
SW-70621730,NRA-SW-5678,2,1,1
SW-70310118,NRA-SW-6672,2,1,1
SW-72937840,202812,1,1,1
SW-81922269,302707,1,1,1
SW-91241167,302733,1,1,1
SW-81910656,300953,1,1,1
SW-70611080,NRA-SW-7953,2,1,1
SW-50220212,400795,1,1,1
SW-81201606,NRA-SW-6975,2,1,1
SW-50440002,401441,1,1,1
SW-82710005,302851,1,1,1
SW-70710315,202711,1,1,1
SW-81219915,302615,1,1,1
SW-82514950,NRA-SW-5221,1,1,1
SW-50350255,401019,1,1,1
SW-50590229,041350,2,1,1
SW-50951082,042451,2,2,1
SW-60220041,103440,1,1,1
SW-60261566,102523,2,1,1
SW-70533638,NRA-SW-5218,4,1,1
SW-70920133,203299,1,1,1
SW-B0060101,010001,2,1,1
SW-81210250,302868,1,1,1
SW-70614950,200976,4,1,1
SW-70720249,NRA-SW-5002,4,2,1
SW-81919918,303018,1,1,1
SW-81810885,303580,1,1,1
SW-E3020019,101456,2,1,1
SW-Z8480273,100367,2,1,1
SW-60010750,102162,1,1,1
SW-50350278,401541,1,1,1
SW-60240850,102923,1,1,1
SW-Z9410102,103629,1,1,1
SW-50350496,402234,1,1,1
SW-50410003,402235,1,1,1
SW-50281354,402237,1,1,1
SW-73082095,202369,3,1,1
SW-73012065,203290,1,1,1
SW-70817390,203413,1,1,1
SW-A4100123,102937,1,1,1
SW-Z6540104,010084,1,1,1
SW-70581009,NRA-SW-6910,3,1,1
SW-B3160110,101111,1,1,1
SW-50210465,401643,2,1,1
SW-Z1012307,010083,2,1,1
SW-Z7500105,100673,2,1,1
SW-Z1440102,012547,2,1,1
SW-Z4170104,010528,2,1,1
SW-Z4170137,010528,2,1,2
SW-70641005,NRA-SW-2058,2,1,1
SW-B0020154,102107,2,1,1
SW-Z3110105,011563,2,1,1
SW-81950015,302888,1,1,1
SW-50590004,401854,1,1,1
SW-64010110,103136,1,1,1
SW-61300001,103651,1,1,1
SW-82310127,300705,6,1,1
SW-82510056,303575,2,1,1
SW-81919909,303017,1,1,1
SW-70620442,203339,1,1,1
SW-70614685,NRA-SW-2224,3,1,1
SW-C1847900,402111,1,1,1
SW-63020001,103148,1,1,1
SW-70810024,203712,1,1,1
SW-70614849,202570,3,1,1
SW-C1569900,402099,1,1,1
SW-70210706,003101/FN/01,2,1,1
SW-70501838,NRA-SW-3560,4,1,1
SW-81111262,302450,2,1,1
SW-50341119,402335,1,1,1
SW-70510022,202631,1,1,1
SW-50280795,401585,1,1,1
SW-60131506,102190,2,1,1
SW-Z1010702,102362,2,1,1
SW-50050530,401625,1,1,1
SW-82210935,303688,1,1,1
SW-50250002,402484,1,1,1
SW-60130010,102449,1,1,1
SW-81111128,301935,3,1,1
SW-60070003,102388,1,1,1
SW-73010880,202831,2,1,1
SW-70720249,NRA-SW-5002,5,2,1
SW-70910196,DRA 1393,2,1,1
SW-81214763,300072/FN/01,2,1,1
SW-81522719,NRA-SW-3673,2,1,1
SW-73210133,203051,1,1,1
SW-Z1460103,102328,1,1,1
SW-81311021,302956,1,1,1
SW-81020612,NRA-SW-0237,4,2,1
SW-72923054,NRA-SW-5674,7,1,1
SW-70610217,SWWA 87,5,1,1
SW-A2270493,010265,2,1,1
SW-E2000099,070152,2,1,1
SW-A4070131,010024,2,1,2
SW-50900004,401697,1,1,1
SW-73010245,203126,1,1,1
SW-70610520,203084,1,1,1
SW-82511920,302782,4,1,1
SW-E1270019,070045,2,1,1
SW-E1200019,070076,2,1,1
SW-60010720,101817,1,1,1
SW-50350004,402529,2,1,1
SW-E3110029,102510,1,1,1
SW-82310013,303304,1,1,1
SW-81915535,303265,1,1,1
SW-70920810,NRA-SW-2254,2,1,1
SW-81261500,303497,1,1,1
SW-91251643,303543,1,1,1
SW-82210930,NPSWQD000221,1,1,1
SW-81910027,303490,1,1,1
SW-70712263,NRA-SW-5295,2,1,1
SW-72930815,DRA 192,2,1,1
SW-70220150,NRA-SW-6684,2,1,1
SW-72913315,NRA-SW-6627,2,1,1
SW-70422337,SWWA 2498,2,2,1
SW-50370440,400972,3,1,1
SW-73010440,203285,1,1,1
SW-70422295,SWWA 2064,2,1,1
SW-70630202,NRA-SW-6737,2,1,1
SW-81231114,NRA-SW-6739,2,1,1
SW-91210188,NRA-SW-0406,2,1,1
SW-82540486,SWWA 861,2,1,1
SW-81251653,NRA-SW-6743,2,1,1
SW-81930115,CRA 172,2,1,1
SW-81811837,NRA-SW-6742,2,1,1
SW-50040979,040001,2,2,1
SW-50580185,040725,2,1,1
SW-50360555,040023,2,1,1
SW-50270002,402214,1,1,1
SW-50810002,402213,1,1,1
SW-70510016,203392,1,1,1
SW-70813480,203502,1,1,1
SW-50440194,042116,2,1,1
SW-50410121,040070,2,1,2
SW-50700369,042618,2,1,1
SW-50700373,042618,2,1,2
SW-50341119,040081,2,1,1
SW-50520131,400607,2,1,1
SW-E4420019,070019,2,1,1
SW-B0011001,012411,1,1,1
SW-81210863,303220,1,1,1
SW-82315120,033998/FU/01,4,1,1
SW-70512053,202372,3,1,1
SW-A2270450,010034,2,2,1
SW-81910615,SWWA 149,3,1,1
SW-81110004,300853/PA,2,1,1
SW-70641031,NRA-SW-3530,2,1,1
SW-C1890901,400443,1,1,1
SW-E7040019,072054,2,1,1
SW-E7020019,070121,2,1,1
SW-82010258,034613/PW/01,2,1,1
SW-50410119,402100,1,1,1
SW-82215025,303621,1,1,1
SW-81010180,302993,1,1,1
SW-50230740,401686,1,1,1
SW-70581015,203020,2,1,1
SW-70720170,203006,1,1,1
SW-50210329,401518,1,1,1
SW-81910120,302642,4,1,1
SW-60110017,103018,1,1,1
SW-82515184,302998,2,1,1
SW-81250131,SWWA 2413,2,1,1
SW-81310207,300594/FU/01,4,1,1
SW-82540715,NRA-SW-4934,3,1,1
SW-72935483,203592,1,1,1
SW-70812669,203442,3,1,1
SW-70622017,202357,2,1,1
SW-70920109,NRA-SW-0222,2,1,1
SW-50211458,042464,4,1,1
SW-60040225,NPSWQD008784,1,1,1
SW-50570239,401050,4,1,1
SW-A0360102,010032,4,1,1
SW-70920133,203299,5,1,1
SW-Z3110104,102816,2,1,1
SW-E3110029,102510,2,1,1
SW-50370334,040048,2,1,3
SW-60600120,100881,2,1,2
SW-50370441,400972,3,1,3
SW-60060614,102486,2,1,2
SW-81930115,CRA 172,4,1,1
SW-70220650,NRA-SW-2877,4,1,1
SW-50230170,041799,3,1,1
SW-50331086,040037,3,1,1
SW-50331084,040037,3,2,1
SW-70620016,203561,3,1,1
SW-91261312,303084,2,1,1
SW-70710446,203080,3,1,1
SW-70570178,203275,3,1,1
SW-70512748,202848,5,1,1
SW-70581015,203020,5,1,1
SW-82615188,301299,6,1,1
SW-81250105,303087,5,1,1
SW-A2270406,011557,3,1,1
SW-82315120,303394,3,1,1
SW-82514952,300911,5,1,1
SW-81281989,002027,5,1,1
SW-91251612,NRA-SW-0007,5,1,1
SW-60031395,101543,2,1,1
SW-D1720901,040079,3,1,2
SW-A3200205,010080,3,1,1
SW-60270555,103392,2,2,1
SW-Z1430100,102755,2,1,1
SW-82110404,303378,2,1,1
SW-81229905,302657,3,1,1
SW-91241745,CRA 25,3,1,1
SW-70581040,203027,3,1,1
SW-82211842,NRA-SW-0782,6,1,1
SW-81913891,303452,2,1,1
SW-B3150102,103185,3,1,1
SW-A2270450,010034,4,2,1
SW-Z9410102,103629,3,1,1
SW-E2040019,070053,4,1,1
SW-Z8490105,102344,3,1,1
SW-Z9370105,010047,4,1,1
SW-70531666,203304,1,1,1
SW-82517313,303399,1,1,1
SW-70614950,200976,5,1,1
SW-60030047,101432,3,1,2
SW-E1000139,103526,1,1,1
SW-50240544,400921,2,1,1
SW-50340493,040628,2,1,2
SW-D1036900,042479,2,1,1
SW-50570239,401050,2,1,1
SW-72923165,200440,2,1,1
SW-A3190224,102712,4,1,1
SW-81219920,302592,2,1,1
SW-A4100123,102937,2,1,1
SW-Z4170103,102713,3,1,1
SW-E4170019,070026,3,1,1
SW-50360555,040023,3,1,1
SW-50570239,401050,3,1,1
SW-73030252,DRA 1155,4,1,1
SW-73040172,DRA 1382,5,1,1
SW-70540177,DRA 1350,4,1,1
SW-50221666,040027,3,1,1
SW-E1270019,070045,3,1,1
SW-70111020,202394,5,1,1
SW-Z1010702,102362,3,1,1
SW-E3120019,101620,2,1,1
SW-E1200011,070076,3,2,1
SW-82010142,302822,7,1,1
SW-70512053,202372,5,1,1
SW-70817390,203413,5,1,1
SW-73020010,NPSWQD003306,1,1,1
SW-50230021,402507,1,1,1
SW-E8400219,100385,3,1,1
SW-Z9400114,102629,2,1,1
SW-Z8490104,100854,3,1,1
SW-B0050104,103775,3,1,1
SW-50030003,401738,3,1,1
SW-81910030,302950,4,1,1
SW-81223443,NRA-SW-4999,6,1,1
SW-81251886,NRA-SW-3402,5,1,1
SW-A4070202,012549,3,1,1
SW-50340437,401341,2,1,1
SW-E3200019,071609,3,1,1
SW-B0050204,101834,3,1,1
SW-E6280048,101432,5,1,1
SW-63111500,102716,2,1,1
SW-50700149,050809,2,3,1
SW-A2300101,010053,4,1,1
SW-E3120019,101620,3,1,1
SW-50260511,401382,4,1,1
SW-C4404700,041352,4,1,2
SW-70420032,NPSWQD006178,1,1,1
SW-81261491,NRA-SW-7827,2,1,1
SW-81511725,15/48/174/P/1,3,1,1
SW-81310607,15/48/171/P/3A,3,1,1
SW-70591632,DRA 262,3,1,1
SW-70532650,SWWA 5,4,1,1
SW-82540486,SWWA 861,3,1,1
SW-70230155,DRA 1539,4,1,1
SW-50530190,041353,4,1,1
SW-Z4180102,102728,3,1,1
SW-81930912,302298,6,1,1
SW-72932135,200413,6,1,1
SW-72913315,NRA-SW-6627,5,1,1
SW-50230029,400608,3,1,1
SW-E2220019,070073,2,1,1
SW-E3120029,070085,4,1,1
SW-50950709,401354,5,1,1
SW-E0910020,100318,5,1,1
SW-Z9400114,102629,3,1,1
SW-C4009700,401758,4,2,1
SW-70815223,NRA-SW-6082,6,1,1
SW-A4070202,012549,4,1,1
SW-FPF00038,070379,4,1,2
SW-50340340,040086,4,1,1
SW-72931092,200411,2,1,1
SW-E1380040,102049,4,1,1
SW-E8100039,101480,4,1,1
SW-70510019,NPSWQD004428,1,1,1
SW-81281691,NRA-SW-6738,2,1,1
SW-70816605,201967,3,1,1
SW-70720249,NRA-SW-5002,9,2,1
SW-70531672,NRA-SW-3474,3,1,1
SW-81250105,303087,3,1,1
SW-81910519,302506,4,1,1
SW-81931388,NRA-SW-3885,5,1,1
SW-82210927,SWWA 2110,4,1,1
SW-82515184,302998,5,1,1
SW-70501838,NRA-SW-3560,5,1,1
SW-81261131,SWWA 2174,2,1,1
SW-70632330,NRA-SW-6620,3,1,1
SW-70501013,NRA-SW-0215,3,1,1
SW-81310607,15/48/171/P/3A,5,1,1
SW-70812794,203206,4,2,1
SW-81310396,SWWA 1003,4,1,1
SW-81231751,15/47/41/P/6,5,1,1
SW-82610136,CRA 1,5,1,1
SW-72911631,DRA 459,7,1,1
SW-73031073,203662,4,1,1
SW-50050229,401068,5,1,1
SW-70510357,NPSWQD000645,1,01,01
SW-73050002,NPSWQD005622,1,1,1
SW-82615188,301299,5,1,1
SW-50590144,040109,2,1,1
SW-60110364,070059,2,1,1
SW-60100237,NPSWQD005766,1,1,1
SW-50510190,042453,4,1,1
SW-60010005,071574,4,1,1
SW-E2330069,071574,4,2,1
SW-50210022,402528,2,1,1
SW-50240265,402179,2,1,1
SW-70531189,DRA 936,5,1,1
SW-B0011101,010077,4,1,1
SW-82311346,302457,4,1,1
SW-81814970,302776,3,1,1
SW-A3190205,102988,4,1,1
SW-50540186,401025,3,1,1
SW-B0050204,101834,4,1,1
SW-Z9420104,101668,3,1,1
SW-Z3110105,011563,4,1,1
SW-50370440,400972,6,1,1
SW-E1200029,102050,6,1,1
SW-Z4170103,102713,5,1,1
SW-60600120,100881,7,1,2
SW-60110025,NPSWQD009740,1,1,1
SW-50280581,401342,4,1,1
SW-50220197,041560,4,1,2
SW-50331084,040037,5,2,1
SW-A3200247,102630,3,1,1
SW-50340385,401340,3,1,3
SW-81610188,SWWA 146,6,1,1
SW-72811566,DRA 1518,4,1,1
SW-82611152,SWWA 200,6,1,1
SW-70531189,DRA 936,3,1,1
SW-70721478,NRA-SW-7808,4,1,1
SW-70570224,NRA-SW-3495,3,1,1
SW-70420177,NRA-SW-3706,3,1,1
SW-70420138,SWWA 944,4,1,1
SW-81510639,302530,2,1,1
SW-T1000043,100537,2,1,1
SW-81281989,002027,3,1,1
SW-73115125,002671/FU/01,4,1,1
SW-70721448,203406,2,1,1
SW-81410450,300914,4,1,1
SW-81020843,033125/FN/01,3,1,1
SW-70522709,202255,2,1,1
SW-82310127,300705,8,1,1
SW-81111128,301935,5,1,1
SW-70610157,203348,2,1,1
SW-70561013,SWWA 42,6,1,1
SW-70810988,SWWA 1138,5,1,1
SW-50900101,EPRCP3421XA,1,1,1
SW-81310248,303644,4,1,1
SW-81110330,NRA-SW-6977,9,1,1
SW-81911160,302505,2,1,1
SW-73031112,NRA-SW-0005,3,1,1
SW-72932135,200413,5,1,1
SW-72923328,201033,3,1,1
SW-81916530,300968,3,1,1
SW-70241640,NRA-SW-7518,3,1,1
SW-81420271,NRA-SW-3789,7,1,1
SW-72941168,NRA-SW-3657,3,1,1
SW-73042480,203380,2,1,1
SW-81610188,SWWA 146,4,1,1
SW-70720139,NRA-SW-0257,4,1,1
SW-82712690,300394/FN/02,3,1,1
SW-81251653,NRA-SW-6743,3,1,1
SW-E4000019,072373,5,1,1
SW-E7070011,071901,4,1,2
SW-82710979,NRA-SW-6685,4,1,1
SW-70591008,SWWA 507,2,1,1
SW-A2270493,010265,5,1,1
SW-60010628,071343,2,1,1
SW-6WXE0418,EPRAP3829XV,2,1,1
SW-6WXE0434,103603,3,1,1
SW-E7070019,071901,5,1,1
SW-6WXE0437,010954,5,1,1
SW-6WXE0360,100504/CS/01,2,1,1
SW-82211950,NPSWQD000605,2,1,1
SW-81212004,301494,2,1,1
SW-81810188,301948,2,1,1
SW-Z8480219,103731,3,1,1
SW-Z5012921,010031,6,1,2
SW-50250171,050831,2,1,1
SW-C1557900,050851,2,1,1
SW-A4070449,101367,3,1,1
SW-50250101,EPRHP3928GX,1,1,1
SW-82710508,EPRKP3527XV,1,1,1
SW-E2000033,070199,2,1,1
SW-81220140,301142,8,1,1
SW-70561013,SWWA 42,5,1,1
SW-50040979,040001,4,2,1
SW-81221990,302908,4,1,1
SW-82311346,15/49/26/P/54,2,1,1
SW-FPF00071,033473/PC/01,2,1,1
SW-91241587,NRA-SW-5049,2,1,1
SW-73031073,203662,2,1,1
SW-50231130,040264,2,1,1
SW-91210006,NPSWQD007579,1,1,1
SW-60030539,102409,3,1,1
SW-60010821,101442,5,1,1
SW-70501051,NRA-SW-6626,3,1,1
SW-73040149,NRA-SW-3518,3,1,1
SW-50040979,040001,3,2,1
SW-Z1010803,102272,3,1,1
SW-E1380040,102049,2,1,1
SW-50951082,042451,3,2,1
SW-50580187,040725,3,2,1
SW-50281575,041903,2,1,1
SW-50420001,043007,2,1,1
SW-Z2030412,011723,2,2,1
SW-50231119,400100/PA/02,2,1,1
SW-Z1012103,101637,6,1,1
SW-60260016,EPRKP3320GU,2,1,1
SW-Z9410102,103629,4,1,1
SW-6WXE0170,101227,2,1,1
SW-6WXE0189,101929,2,1,1
SW-Z3110139,011563,6,2,1
SW-6WXE0388,100563/CS/01,2,1,1
SW-81110330,NRA-SW-6977,15,1,1
SW-6WXE0378,400689,3,1,1
SW-60030539,102409,4,1,1
SW-72910005,EPRJP3026XL,1,1,1
SW-50221601,EPRHP3925XW,1,1,1
SW-T1000024,072047,3,1,1
SW-B3160104,EPRCB3292VW,2,1,1
SW-Z8490104,100854,6,1,1
SW-Z9380203,101462,6,1,1
SW-70910353,SWWA 2259,11,1,1
SW-60031168,070086,3,1,1
SW-60030147,103047,2,1,1
SW-60260012,103064,2,1,1
SW-Z1010703,010441,3,1,1
SW-A3200206,010092,6,1,1
SW-6WXE0461,NPSWQD008606,2,01,01
SW-50260005,400741,2,1,1
SW-70210706,003101/FN/01,5,1,1
SW-73080552,DRA 1538,6,1,1
SW-Z3120108,EPRCB3591EM,1,1,1
SW-81915673,301474/PW/01,2,1,1
SW-70723940,EPRZP3827XZ,1,1,1
SW-70910353,SWWA 2259,10,1,1
SW-91261312,303084,6,1,1
SW-81221990,302908,6,1,1
SW-FPF00090,203478,5,1,2
SW-50250714,043224,3,1,1
SW-82710120,NPSWQD005699,3,1,1
SW-70522991,NRA-SW-3580,5,1,1
SW-82211842,NRA-SW-0782,11,1,1
SW-70641031,203812,5,1,1
SW-81020612,NRA-SW-0237,8,2,1
SW-C1562900,402188,2,1,1
SW-60120013,EPRTB3435AW,1,1,1
SW-50240003,EPRGB3998VQ,1,1,1
SW-70531024,203113,8,1,1
SW-81950501,EPRHB3292RA,1,1,1
SW-72913192,200403,4,1,1
SW-70720249,NRA-SW-5002,11,2,1
SW-72931591,204075,2,1,1
SW-6WXE0056,101239,2,1,1
SW-81111119,032894/PC/01,2,1,1
SW-70630023,EPRAB3396AM,1,1,1
SW-50250714,043224,2,1,1
SW-50440146,043231,2,1,1
SW-50440168,043234,2,1,1
SW-82518083,034544,6,1,2
SW-50570220,400505,2,1,1
SW-C7022000,401057,2,1,1
SW-50570390,401059,2,1,1
SW-50540139,401223,2,1,1
SW-70710019,EPRLP3321GK,1,1,1
SW-70510450,202475,7,1,1
SW-70710320,202711,6,1,2
SW-72923754,203161,5,1,1
SW-60070004,103199,2,1,1
SW-60130011,103217,2,1,1
SW-FPF00084,302956,6,1,2
SW-50590008,EPRBB3593EG,2,1,1
SW-70712263,NRA-SW-5295,6,1,1
SW-82712763,15/49/30/P/10,5,1,1
SW-81929908,302707,8,1,2
SW-82410588,NRA-SW-6625,6,1,1
SW-70591075,EPRFB3995RC,1,1,1
SW-70561013,SWWA 42,9,1,1
SW-72940009,004675/PA/01,2,1,1
SW-60010527,EPRFB3997NC,1,1,1
SW-50330050,401659,2,1,1
SW-70720022,NRA-SW-1075,3,1,1
SW-60040015,EPRGB3899AS,1,1,1
SW-H1210290,303347,9,1,1
SW-60110060,EPRDB3697RK,1,1,1
SW-6WXE0051,101651,2,1,1
SW-6WXE0034,101750,2,1,1
SW-6WXE0017,101186,2,1,1
SW-6WXE0062,101757,2,1,1
SW-6WXE0002,102820,2,1,1
SW-70501013,NRA-SW-0215,6,1,1
SW-70811886,001685/FU/01,9,1,1
SW-72923328,201033,5,1,1
SW-72936315,NRA-SW-3849,5,1,1
SW-70810021,203616,2,1,1
SW-72931590,204074,2,1,1
SW-70512070,EPRGB3497EA,1,1,1
SW-81811101,EPRJB3190WR,1,1,1
SW-50590009,EPRKB3698AP,1,1,1
SW-50340001,043465/PA/01,2,1,1
SW-82110021,303364,2,1,1
SW-81291220,EPRRB3532AF,1,1,1
SW-81271530,EPRNB3138AF,2,1,1
SW-81910030,302950,6,1,1
SW-50210020,401665,2,1,1
SW-6WXE0020,101188,2,1,1
SW-82510012,302844,2,1,1
SW-81940667,EPRUB3590NU,1,1,1
SW-Z6540105,102818,6,1,1
SW-Z5012921,010031,5,1,2
SW-A3240103,102218,6,1,1
SW-Z9410102,103629,5,1,1
SW-50231000,EPRXP3026GP,2,1,1
SW-C1475900,043172,4,1,1
SW-81281194,NRA-SW-7937,2,1,1
SW-70530024,004687/PA/01,2,1,1
SW-Z1012344,012008,2,1,1
SW-60090006,EPREB3696EA,1,1,1
SW-70621912,EPRFB3296RP,1,1,1
SW-E8180451,EPREB3892RL,1,1,1
SW-73020010,NPSWQD003306,2,1,1
SW-91251648,SWWA 2106,4,1,1
SW-73115125,002671/FU/01,7,1,1
SW-60070005,EPRAP3322XV,1,1,1
SW-70810028,EPRRP3022GH,1,1,1
SW-50280011,EPRRP3327GS,1,1,1
SW-50951080,042451,5,1,1
SW-70520010,EPRRB3832AW,1,1,1
SW-E2220029,070796,3,1,1
SW-50510190,042453,5,1,1
SW-6WXE0468,401288,3,1,1
SW-6WXE0466,401287,3,1,1
SW-Z9380204,102715,6,1,1
SW-60031395,101543,5,1,1
SW-6WXE0559,010092,7,1,2
SW-E7080019,071977,5,1,1
SW-6WXE0566,400606,6,2,1
SW-6WXE0574,NPSWQD008609,2,1,1
SW-50250192,400138/PA/01,2,1,1
SW-50230025,400147/PA/01,2,1,1
SW-50340750,400148/PA/01,2,1,1
SW-B0010790,012857,2,1,1
SW-50520379,040273,2,1,1
SW-73115125,002671/FU/01,10,1,1
SW-6WXE0110,071742,3,1,1
SW-50280581,401342,5,1,1
SW-6WXE0272,100466,3,1,1
SW-91251660,NRA-SW-6622,6,1,1
SW-6WXE0415,013132,2,1,1
SW-6WXE0135,103180,2,1,1
SW-70711550,200276/PA/01,3,1,1
SW-70810026,NPSWQD009323,2,1,1
SW-70210420,EPREB3092RF,1,1,1
SW-A4070202,012549,5,1,1
SW-A3230110,011558,5,2,1
SW-6WXE0399,102303,2,1,1
SW-C4221700,043204,5,1,2
SW-50331592,043204,6,1,1
SW-50221666,040027,5,1,1
SW-6WXE0129,NPSWQD003764,2,1,1
SW-70230645,201998,3,1,1
SW-70591632,DRA 262,7,1,1
SW-91241111,SWWA 880,6,1,1
SW-6WXE0521,401089,6,2,1
SW-81231464,SWWA 877,6,1,1
SW-6WXE0264,013102,3,1,1
SW-81231464,SWWA 877,7,1,1
SW-50341477,400452,3,1,1
SW-60240830,EPRJB3197NP,1,1,1
SW-6WXE0297,100445,3,1,1
SW-6WXE0339,101773,3,1,1
SW-A1260202,102222,6,1,1
SW-82511126,034589/PW/01,2,1,1
SW-91261790,SWWA 1148,5,1,1
SW-82521210,NRA-SW-6959,9,1,1
SW-70420138,SWWA 944,8,1,1
SW-70230017,NRA-SW-4946,7,1,2
SW-82510014,EPREB3892VG,1,1,1
SW-6WXE0361,102128,2,1,1
SW-FPF00057,NRA-SW-6982,3,1,2
SW-81814970,302776,4,1,1
