samplingPoint.notation,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER
SW-70910353,SWWA 2259,1,1,1
SW-70230432,SWWA 2271,1,1,1
SW-70232035,NRA-SW-3897,1,1,1
SW-70630010,NRA-SW-6901,1,2,1
SW-70513167,NRA-SW-6912,1,1,1
SW-70531606,SWWA 2475,1,1,1
SW-E1440039,072231,1,1,1
SW-E3150009,072267,1,B,1
SW-E3020109,072379,1,1,1
SW-81520145,NRA-SW-0742,1,1,1
SW-E1600019,072479,1,1,1
SW-E3170019,072487,1,1,1
SW-70523991,200182/PW/01,1,1,1
SW-81710287,NRA-SW-6368,1,1,1
SW-73012152,NRA-SW-6389,1,1,1
SW-82518106,SWWA 1155,1,1,1
SW-B0011002,010437,1,1,1
SW-91241181,SWWA 14,1,1,1
SW-70513880,SWWA 17,1,1,1
SW-70826083,SWWA 170,1,1,1
SW-81211257,SWWA 179,1,1,1
SW-70422295,SWWA 2064,1,1,1
SW-70420177,NRA-SW-3706,1,1,1
SW-73050626,NRA-SW-3838,1,1,1
SW-81261461,NRA-SW-3996,1,1,1
SW-81261185,NRA-SW-6979,1,1,1
SW-81290125,NRA-SW-6981,1,1,1
SW-82611777,NRA-SW-6985,1,1,1
SW-70421012,SWWA 325,1,1,1
SW-81930988,NRA-SW-7150,1,1,1
SW-72910667,SWWA 481,1,1,1
SW-72930166,SWWA 496,1,1,1
SW-72932135,SWWA 590,1,1,1
SW-81221719,NRA-SW-1721,1,1,1
SW-91210277,NRA-SW-1765,1,1,1
SW-70724014,NRA-SW-1769,1,1,1
SW-81020992,NRA-SW-1771,1,1,1
SW-82410690,SWWA 711,1,1,1
SW-82210122,SWWA 732,1,1,1
SW-82520961,NRA-SW-5458,1,1,1
SW-81950927,NRA-SW-5475,1,1,1
SW-82528081,NRA-SW-5637,1,1,1
SW-81420282,NRA-SW-5638,1,1,1
SW-70591640,NRA-SW-7549,1,1,1
SW-82112432,NRA-SW-7689,1,1,1
SW-70523798,NRA-SW-7714,1,1,1
SW-82513980,NRA-SW-5998,1,1,1
SW-81420218,NRA-SW-2893,1,1,1
SW-70621713,NRA-SW-6113,1,1,1
SW-70232780,NRA-SW-4946,1,1,1
SW-70641720,NRA-SW-7070,1,1,1
SW-81931094,NRA-SW-7120,1,1,1
SW-81610538,NRA-SW-7141,1,1,1
SW-70551333,NRA-SW-1706,1,1,1
SW-70240892,NRA-SW-5177,1,1,1
SW-82514950,NRA-SW-5221,1,1,2
SW-81210301,NRA-SW-5224,1,1,1
SW-81930191,NRA-SW-7201,1,1,1
SW-81940391,NRA-SW-7210,1,1,1
SW-73031087,NRA-SW-7275,1,1,1
SW-70811558,SWWA 510,1,1,1
SW-73010855,SWWA 515,1,1,1
SW-73021990,SWWA 534,1,1,1
SW-73023906,SWWA 559,1,1,1
SW-72935582,SWWA 566,1,1,1
SW-81272507,SWWA 581,1,1,1
SW-73030187,NRA-SW-5247,1,1,1
SW-70712263,NRA-SW-5295,1,1,1
SW-81810603,NRA-SW-5326,1,1,1
SW-81523188,NRA-SW-7313,1,1,1
SW-73040484,SWWA 640,1,1,1
SW-70420269,SWWA 659,1,1,1
SW-81112191,SWWA 699,1,1,1
SW-70531324,SWWA 7,1,1,1
SW-73080992,NRA-SW-5498,1,2,1
SW-73010951,SWWA 787,1,1,1
SW-81231159,SWWA 792,1,1,1
SW-70610217,SWWA 87,1,1,1
SW-81231464,SWWA 877,1,1,1
SW-82522352,NRA-SW-5639,1,1,1
SW-82410287,NRA-SW-5666,1,1,1
SW-72923039,NRA-SW-5675,1,1,1
SW-70620159,NRA-SW-5677,1,1,1
SW-72923165,NRA-SW-5696,1,1,1
SW-91241174,NRA-SW-5780,1,1,1
SW-81211166,NRA-SW-7829/FN/1,1,1,1
SW-70720274,NRA-SW-7951,1,1,1
SW-60070007,020172,1,1,1
SW-70810788,NRA-SW-3144,1,1,1
SW-81221990,302908,1,1,1
SW-81014790,300956,1,1,1
SW-50034510,400435,1,1,1
SW-81431072,300649/TR/01,1,1,1
SW-82520655,300666/PW/01,1,1,1
SW-50231597,400552,1,1,1
SW-81520385,300563,1,1,1
SW-50230382,400582,1,1,1
SW-50220174,400577,1,1,1
SW-50311085,400093,1,1,1
SW-82310127,300705,1,1,1
SW-70532977,200973,1,1,1
SW-70632550,200412,1,1,1
SW-70811721,201187,1,1,1
SW-70523151,202444,1,1,2
SW-50230024,400639,1,1,1
SW-81950781,301119,1,1,1
SW-B0020159,101872,1,1,1
SW-81110004,300853/PA,1,1,1
SW-73012535,200906,1,1,1
SW-6WXE0458,101203,1,1,1
SW-Z1011018,101217,1,1,1
SW-70210005,201226,1,1,1
SW-72932135,200413,2,1,1
SW-50280491,400888,1,1,1
SW-82518042,301394,1,1,1
SW-81210875,301343,1,1,1
SW-81210874,301344,1,1,1
SW-72935483,201034,2,1,1
SW-70921164,NRA-SW-6965,2,1,1
SW-Z1012103,100343,2,1,1
SW-70501838,NRA-SW-3560,2,1,1
SW-70220655,201999,1,1,1
SW-50570239,041639,2,1,1
SW-81931388,NRA-SW-3885,2,1,1
SW-81229906,302854,1,1,1
SW-73010354,002491/FU/01,6,1,1
SW-82710006,302887,1,1,1
SW-50210352,401500,1,1,1
SW-50211458,042464,3,1,1
SW-E2240019,101640,1,1,1
SW-Z8480219,101328,2,2,1
SW-82540715,NRA-SW-4934,2,1,1
SW-64200700,101501,1,1,1
SW-81011046,032738/FN/02,1,1,1
SW-70424812,002728/FN/01,2,1,1
SW-60032275,101431,1,1,1
SW-E6280048,101432,1,1,1
SW-A4070449,101367,1,1,1
SW-A3200247,010334,2,1,1
SW-60031389,071868,2,2,2
SW-Z1010803,010005,2,1,1
SW-91221518,NRA-SW-3765,2,1,1
SW-E4000041,101331,1,1,2
SW-A0340108,013109,2,1,1
SW-91252508,SWWA 844,2,1,1
SW-82410588,NRA-SW-6625,2,1,1
SW-Z1520113,101441,1,2,1
SW-A0340313,101935,1,1,1
SW-81810110,301364,1,1,1
SW-70816605,201967,1,1,1
SW-72923175,NRA-SW-5698,3,1,1
SW-72923175,NRA-SW-5698,4,1,1
SW-72923150,NRA-SW-5694,3,1,1
SW-72923165,NRA-SW-5696,4,1,1
SW-81915133,302487,1,1,1
SW-70723967,201052,1,1,1
SW-72922077,200786,1,1,1
SW-81220140,301142,1,1,1
SW-G0550321,004679,3,5,1
SW-70921090,004379/TF/01,2,1,1
SW-73080562,200321/TF/01,2,3,1
SW-60030552,101942,1,1,1
SW-73010301,NRA-SW-7177,2,1,1
SW-81219917,302587,1,1,1
SW-81251818,WS 157/5/41,1,2,1
SW-81212010,300918,1,1,1
SW-Z4170194,101513,1,1,1
SW-H1814893,300118/FU/01,3,1,1
SW-E8900030,100334/FU/01,4,1,1
SW-50340749,401439,1,1,1
SW-81949903,302671,1,1,1
SW-70523315,NRA-SW-2080,2,1,1
SW-81940166,302508,1,1,1
SW-82528183,302535,1,1,1
SW-70540145,202738,1,1,1
SW-70620159,NRA-SW-5677,2,1,1
SW-70630142,200595,2,1,1
SW-50340986,400709,1,1,1
SW-70557058,NRA-SW-7251,1,1,1
SW-70523315,NRA-SW-2080,3,1,1
SW-Z7500105,100673,1,1,1
SW-50570392,401060,1,1,1
SW-73023814,200417,1,1,1
SW-6WXE0107,100636,1,1,1
SW-A1320112,100917,1,1,1
SW-70711879,200926,1,1,1
SW-70550279,SWWA 284,1,2,1
SW-81219906,302584,1,1,1
SW-81310283,302557,1,1,1
SW-Z1450105,101886,1,1,1
SW-60010614,082351/FN/01,1,1,1
SW-E7081510,100921,1,1,1
SW-50030584,400606,1,1,1
SW-81219920,302592,1,1,1
SW-50210476,401380,1,3,1
SW-50320578,400723,1,1,1
SW-E0910672,101266,1,2,1
SW-60080005,100540,1,1,1
SW-70310118,NRA-SW-6672,3,1,1
SW-70532974,200973,2,1,2
SW-E8170004,101387,1,1,1
SW-60270527,101389,1,1,1
SW-A1260202,101329,1,1,1
SW-70513438,202288,1,1,1
SW-50210570,401163,1,1,1
SW-Z7500142,011776,2,1,1
SW-81229904,302656,1,1,1
SW-80490002,302808,1,1,1
SW-81219922,302611,1,1,1
SW-70711617,202852,1,1,1
SW-73060668,SWWA 492,1,1,1
SW-82315180,303049,1,1,1
SW-50270001,401735,1,1,1
SW-70523151,202444,3,1,2
SW-E4000021,070099,2,3,1
SW-E7070011,071901,2,1,2
SW-E7080011,071977,2,2,1
SW-E8400219,100385,2,1,1
SW-81521724,NRA-SW-5293,3,1,1
SW-50340037,401783,1,1,1
SW-70591240,203276,1,1,1
SW-60030460,101966,1,1,1
SW-Z3110139,011563,2,2,1
SW-91252047,303086,1,1,1
SW-70610320,203345,1,1,1
SW-82211842,NRA-SW-0782,4,1,1
