EA_REGION,REGION,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER,SPT_DESC,EFF_SAMPLE_POINT,EFF_TMEN_CODE,TMEN_DESC,DWF (m3_d),MAX_DAILY (m3_d),MEAN (m3_d),MAX_RATE (l_s),samplingPoint.notation
SW,EA South West Region,010014,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,A1310203,01,BIOLOGICAL FILTRATION,12.0,,,,SW-A1310203
SW,EA South West Region,040023,1,1,2,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,50360557,11,SCREENING,,,,,SW-50360557
SW,EA South West Region,040024,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50231729,01,BIOLOGICAL FILTRATION,4.0,,,,SW-50231729
SW,EA South West Region,040028,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50361056,03,TERTIARY BIOLOGICAL,,,,,SW-50361056
SW,EA South West Region,040029,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50210790,01,BIOLOGICAL FILTRATION,30.0,,,,SW-50210790
SW,EA South West Region,040046,1,2,1,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,50341160,11,SCREENING,,,,,SW-50341160
SW,EA South West Region,040061,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50210465,01,BIOLOGICAL FILTRATION,1500.0,,,,SW-50210465
SW,EA South West Region,040076,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50221670,01,BIOLOGICAL FILTRATION,35.0,,,,SW-50221670
SW,EA South West Region,010099,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,A3200222,01,BIOLOGICAL FILTRATION,7.0,,,,SW-A3200222
SW,EA South West Region,011843,1,2,1,TRADE DISCHARGES - SITE DRAINAGE,A2300112,,,,8000.0,,,SW-A2300112
SW,EA South West Region,011987,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,A1260106,01,BIOLOGICAL FILTRATION,344.0,,,,SW-A1260106
SW,EA South West Region,040086,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50340340,01,BIOLOGICAL FILTRATION,182.0,,,,SW-50340340
SW,EA South West Region,040109,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,50590144,01,BIOLOGICAL FILTRATION,11.0,,,,SW-50590144
SW,EA South West Region,040239,1,1,1,TRADE DISCHARGES - COOLING WATER,50340255,21,SAND FILTRATION,,1050.0,,,SW-50340255
SW,EA South West Region,040299,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,C1489900,01,BIOLOGICAL FILTRATION,,5.0,,,SW-C1489900
SW,EA South West Region,043234,1,1,1,AGRICULTURE - WATER CRESS FARMING,50440168,10,LAGOON SETTLEMENT,,4091.0,,47.0,SW-50440168
SW,EA South West Region,043237,1,1,1,AGRICULTURE - WATER CRESS FARMING,50340228,10,LAGOON SETTLEMENT,,5473.0,,63.0,SW-50340228
SW,EA South West Region,043250,1,5,1,AGRICULTURE - WATER CRESS FARMING,50250231,,,,,,,SW-50250231
SW,EA South West Region,070227,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,E1000029,01,BIOLOGICAL FILTRATION,,,,,SW-E1000029
SW,EA South West Region,011343,1,1,1,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,Z1450105,01,BIOLOGICAL FILTRATION,5000.0,15034.0,,,SW-Z1450105
