id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.longitude,samplingPoint.latitude,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3446433/observation/0111,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-02-28T08:10:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0111,Ammoniacal Nitrogen as N,1.64,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3446433/observation/0135,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-02-28T08:10:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0135,"Solids, Suspended at 105 C",<5,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3448038/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-03-22T08:28:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0061,pH,7.77,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3448038/observation/0085,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-03-22T08:28:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,<6,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3448038/observation/0111,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-03-22T08:28:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0111,Ammoniacal Nitrogen as N,1.18,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3448038/observation/0135,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-03-22T08:28:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0135,"Solids, Suspended at 105 C",<5,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3451114/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-04-04T10:23:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0061,pH,7.79,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3451114/observation/0085,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-04-04T10:23:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,<6,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3451114/observation/0111,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-04-04T10:23:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0111,Ammoniacal Nitrogen as N,2.04,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3451114/observation/0135,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-04-04T10:23:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0135,"Solids, Suspended at 105 C",<5,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3457054/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-06-15T11:28:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0061,pH,7.76,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3457054/observation/0085,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-06-15T11:28:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,<6,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3457054/observation/0111,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-06-15T11:28:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0111,Ammoniacal Nitrogen as N,1.94,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3457054/observation/0135,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-06-15T11:28:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0135,"Solids, Suspended at 105 C",5,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3457149/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-06-25T10:45:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0061,pH,7.82,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3457149/observation/0085,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-06-25T10:45:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,<6,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3457149/observation/0111,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-06-25T10:45:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0111,Ammoniacal Nitrogen as N,0.86,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3457149/observation/0135,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-06-25T10:45:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0135,"Solids, Suspended at 105 C",<5,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3466149/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-20T08:17:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0061,pH,7.67,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3466149/observation/0085,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-20T08:17:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,<6,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3466149/observation/0111,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-20T08:17:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0111,Ammoniacal Nitrogen as N,0.86,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3466149/observation/0135,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-20T08:17:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0135,"Solids, Suspended at 105 C",<5,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3466278/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-30T10:58:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0061,pH,7.71,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3466278/observation/0085,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-30T10:58:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,9,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3466278/observation/0111,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-30T10:58:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0111,Ammoniacal Nitrogen as N,1.98,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3466278/observation/0135,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-30T10:58:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0135,"Solids, Suspended at 105 C",9,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3468334/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-10-25T10:37:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0061,pH,7.69,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3468334/observation/0085,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-10-25T10:37:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,<6,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3468334/observation/0111,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-10-25T10:37:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0111,Ammoniacal Nitrogen as N,0.61,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3468334/observation/0135,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-10-25T10:37:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0135,"Solids, Suspended at 105 C",<5,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3468469/observation/7668,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-10-07T08:05:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,7668,No flow /No sample,No flow/discharge at sampling point,Coded Result
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3469393/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-11-15T08:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0061,pH,7.83,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3469393/observation/0085,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-11-15T08:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,7,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3469393/observation/0111,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-11-15T08:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0111,Ammoniacal Nitrogen as N,0.73,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3469393/observation/0135,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-11-15T08:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0135,"Solids, Suspended at 105 C",12,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410150/sample/3444073/observation/0085,SW-50410150,PIDDLEHINTON STW FE,-2.3961,50.7657,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-01-26T12:26:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,<6,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410150/sample/3444073/observation/0111,SW-50410150,PIDDLEHINTON STW FE,-2.3961,50.7657,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-01-26T12:26:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0111,Ammoniacal Nitrogen as N,2.42,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410150/sample/3444073/observation/0135,SW-50410150,PIDDLEHINTON STW FE,-2.3961,50.7657,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-01-26T12:26:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0135,"Solids, Suspended at 105 C",9,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410150/sample/3446316/observation/0085,SW-50410150,PIDDLEHINTON STW FE,-2.3961,50.7657,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-02-14T10:35:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,8,MILLIGRAM PER LITRE
