id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.longitude,samplingPoint.latitude,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit
https://environment.data.gov.uk/water-quality/sampling-point/SW-50331270/sample/3426757/observation/4883,SW-50331270,HARTSFOOT CLOSE STW FINAL EFFLUENT MELCOMBE BINGHAM,-2.3378,50.8233,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,2021-07-06T13:45:00,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),FINAL SEWAGE EFFLUENT,4883,Site Inspection : Pass/Fail (1/0),Pass,Coded Result
https://environment.data.gov.uk/water-quality/sampling-point/SW-50331270/sample/3426757/observation/7434,SW-50331270,HARTSFOOT CLOSE STW FINAL EFFLUENT MELCOMBE BINGHAM,-2.3378,50.8233,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,2021-07-06T13:45:00,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),FINAL SEWAGE EFFLUENT,7434,National Grid Reference : Whole : Field report,1,UNITLESS VALUE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3417022/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2021-01-27T09:32:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0061,pH,7.56,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3417022/observation/0085,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2021-01-27T09:32:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,6,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3417022/observation/0111,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2021-01-27T09:32:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0111,Ammoniacal Nitrogen as N,1.21,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3417022/observation/0135,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2021-01-27T09:32:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0135,"Solids, Suspended at 105 C",<5,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3419272/observation/0061,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2021-02-15T10:27:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0061,pH,7.81,PH UNITS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3419272/observation/0085,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2021-02-15T10:27:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0085,BOD : 5 Day ATU,8,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3419272/observation/0111,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2021-02-15T10:27:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0111,Ammoniacal Nitrogen as N,0.52,MILLIGRAM PER LITRE
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3419272/observation/0135,SW-50410119,PUDDLETOWN STW FE,-2.3543,50.7536,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2021-02-15T10:27:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,0135,"Solids, Suspended at 105 C",13,MILLIGRAM PER LITRE
