COMPANY_NAME,DISCHARGE_SITE_NAME,DISCHARGE_SITE_TYPE_CODE,DSI_TYPE_DESCRIPTION,ADD_OF_DISCHARGE_SITE_LINE_1,ADD_OF_DISCHARGE_SITE_LINE_2,ADD_OF_DISCHARGE_SITE_LINE_3,ADD_OF_DISCHARGE_SITE_LINE_4,ADD_OF_DISCHARGE_SITE_PCODE,DISTRICT_COUNCIL,DISCHARGE_NGR,CATC_NAME,CATCHMENT_CODE,EA_REGION,SOURCE,PERMIT_NUMBER,PERMIT_VERSION,RECEIVING_WATER,RECEIVING_ENVIRON_TYPE_CODE,REC_ENV_CODE_DESCRIPTION,ISSUED_DATE,EFFECTIVE_DATE,REVOCATION_DATE,STATUS_OF_PERMIT,STATUS_DESCRIPTION,OUTLET_NUMBER,OUTLET_TYPE_CODE,OUTLET_TYPE_DESCRIPTION,OUTLET_GRID_REF,EFFLUENT_NUMBER,EFFLUENT_TYPE,EFF_TYPE_DESCRIPTION,EFFLUENT_GRID_REF
WESSEX WATER SERVICES LIMITED,DORCHESTER (LOUDS MILL) STW,A2,WwTW/Sewage Treatment Works (water company),SEWAGE TREATMENT WORKS,ST GEORGES ROAD,DORCHESTER,DORSET,DT1 1PE,DORSET UA,SY7090090230,"FROME/CERNE,SYDLG-S.WINTB",44/55-,SW,EA South West Region,041639,1,RIVER FROME,01,Freshwater river,,19/09/1990,20/12/2001,E2,"REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,T,Trade,SY7096090360,2,SB,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,SY7093090250
WESSEX WATER SERVICES LIMITED,POOLE E STW,A2,WwTW/Sewage Treatment Works (water company),CABOT LANE,,POOLE,DORSET,BH17 7BX,B'MOUTH C'CH POOLE U,SZ0069093850,HOLES BAY,44/95-,SW,EA South West Region,043091,1,(S) TRIB OF HOLES BAY,01,Freshwater river,13/09/1996,01/09/1996,31/08/1997,E2,"REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,S,Sewage - water company,SZ0070093570,2,SA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,SZ0070093570
MR C BARTER,BROCKHILL WATERCRESS FARM,03,Fish + Aquaculture/Fish Farm/Cress Farm,TURNERS PUDDLE,WAREHAM,,DORSET,BH20 7NH,DORSET UA,SY8369092820,PIDDLE-DV'LS BK-BERE STRM,44/43-,SW,EA South West Region,043245,1,MIDDLE PIDDLE,01,Freshwater river,28/03/1996,29/03/1996,24/10/2002,E2,"REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,T,Trade,SY8362092940,1,AD,AGRICULTURE - WATER CRESS FARMING,SY8362092940
WESSEX WATER SERVICES LIMITED,DORCHESTER (LOUDS MILL) STW,A2,WwTW/Sewage Treatment Works (water company),SEWAGE TREATMENT WORKS,ST GEORGES ROAD,DORCHESTER,DORSET,DT1 1PE,DORSET UA,SY7090090230,"FROME/CERNE,SYDLG-S.WINTB",44/55-,SW,EA South West Region,041639,2,RIVER FROME,01,Freshwater river,19/09/1990,21/12/2001,31/03/2002,K7,REVOKED - UNSPECIFIED,2,T,Trade,SY7116090330,1,SB,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,SY7081090170
WESSEX WATER SERVICES LIMITED,POOLE E STW,A2,WwTW/Sewage Treatment Works (water company),CABOT LANE,,POOLE,DORSET,BH17 7BX,B'MOUTH C'CH POOLE U,SZ0069093850,HOLES BAY,44/95-,SW,EA South West Region,043091,1,(S) TRIB OF HOLES BAY,01,Freshwater river,13/09/1996,01/09/1996,31/08/1997,E2,"REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,S,Sewage - water company,SZ0070093570,1,SA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,SZ0071093590
WESSEX WATER SERVICES LIMITED,DORCHESTER (LOUDS MILL) STW,A2,WwTW/Sewage Treatment Works (water company),SEWAGE TREATMENT WORKS,ST GEORGES ROAD,DORCHESTER,DORSET,DT1 1PE,DORSET UA,SY7090090230,"FROME/CERNE,SYDLG-S.WINTB",44/55-,SW,EA South West Region,041639,2,RIVER FROME,01,Freshwater river,19/09/1990,21/12/2001,31/03/2002,K7,REVOKED - UNSPECIFIED,1,T,Trade,SY7096090360,2,SB,SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY,SY7093090250
WESSEX WATER SERVICES LIMITED,POOLE E STW,A2,WwTW/Sewage Treatment Works (water company),CABOT LANE,,POOLE,DORSET,BH17 7BX,B'MOUTH C'CH POOLE U,SZ0069093850,HOLES BAY,44/95-,SW,EA South West Region,043091,3,(S) TRIB OF HOLES BAY,01,Freshwater river,13/09/1996,09/11/2000,20/12/2000,E2,"REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,S,Sewage - water company,SZ0070093570,1,SA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,SZ0071093590
MR C BARTER,BROCKHILL WATERCRESS FARM,03,Fish + Aquaculture/Fish Farm/Cress Farm,TURNERS PUDDLE,WAREHAM,,DORSET,BH20 7NH,DORSET UA,SY8369092820,PIDDLE-DV'LS BK-BERE STRM,44/43-,SW,EA South West Region,043244,1,MIDDLE PIDDLE,01,Freshwater river,28/03/1996,29/03/1996,24/10/2002,E2,"REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,T,Trade,SY8352092870,1,AD,AGRICULTURE - WATER CRESS FARMING,SY8352092870
MR C BARTER,TINCLETON EAST WATERCRESS BEDS,03,Fish + Aquaculture/Fish Farm/Cress Farm,TINCLETON,DORCHESTER,,DORSET,DT2 8QP,DORSET UA,SY7669091800,"FROME,S.WINTBNE-TADNOLL",44/57-,SW,EA South West Region,043478,1,UNNAMED TRIBUTARY RIVER FROME,01,Freshwater river,29/03/1996,29/03/1996,24/10/2002,E2,"REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,T,Trade,SY7670091680,1,AD,AGRICULTURE - WATER CRESS FARMING,SY7667091680
WESSEX WATER SERVICES LIMITED,POOLE E STW,A2,WwTW/Sewage Treatment Works (water company),CABOT LANE,,POOLE,DORSET,BH17 7BX,B'MOUTH C'CH POOLE U,SZ0069093850,HOLES BAY,44/95-,SW,EA South West Region,043091,1,(S) TRIB OF HOLES BAY,01,Freshwater river,13/09/1996,01/09/1996,31/08/1997,E2,"REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",2,S,Sewage - water company,SZ0087093150,1,SD,SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY,SZ0087093150
MR C BARTER,WARMWELL WATERCRESS FARM,03,Fish + Aquaculture/Fish Farm/Cress Farm,WARMWELL,DORCHESTER,,DORSET,DT2 8JG,DORSET UA,SY7492087270,TADNOLL BROOK/EMPOOL STRM,44/58-,SW,EA South West Region,043241,1,TADNOLL BROOK,01,Freshwater river,28/03/1996,29/03/1996,24/10/2002,E2,"REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,T,Trade,SY7516087310,1,AD,AGRICULTURE - WATER CRESS FARMING,SY7516087310
