"COMPANY_NAME","DISCHARGE_SITE_NAME","DISCHARGE_SITE_TYPE_CODE","DSI_TYPE_DESCRIPTION","ADD_OF_DISCHARGE_SITE_LINE_1","ADD_OF_DISCHARGE_SITE_LINE_2","ADD_OF_DISCHARGE_SITE_LINE_3","ADD_OF_DISCHARGE_SITE_LINE_4","ADD_OF_DISCHARGE_SITE_PCODE","DISTRICT_COUNCIL","DISCHARGE_NGR","CATC_NAME","CATCHMENT_CODE","EA_REGION","SOURCE","PERMIT_NUMBER","PERMIT_VERSION","RECEIVING_WATER","RECEIVING_ENVIRON_TYPE_CODE","REC_ENV_CODE_DESCRIPTION","ISSUED_DATE","EFFECTIVE_DATE","REVOCATION_DATE","STATUS_OF_PERMIT","STATUS_DESCRIPTION","OUTLET_NUMBER","OUTLET_TYPE_CODE","OUTLET_TYPE_DESCRIPTION","OUTLET_GRID_REF","EFFLUENT_NUMBER","EFFLUENT_TYPE","EFF_TYPE_DESCRIPTION","EFFLUENT_GRID_REF","geometry"
"WESSEX WATER SERVICES LIMITED","CORFE CASTLE STW","A2","WwTW/Sewage Treatment Works (water company)","SEWAGE TREATMENT WORKS","","CORFE CASTLE","DORSET","BH20 5DW","DORSET UA","SY9620083050","","","SW","EA South West Region","041324","8","CORFE RIVER (S)","1.0","Freshwater river","02/10/22 00:00:00","02/10/22 00:00:00","03/30/22 00:00:00","E7","VARIED UNDER EPR 2010","1","S","Sewage - water company","SY9609683153","1","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY9617283126","POINT (396200 83050)"
"WESSEX WATER SERVICES LIMITED","DORCHESTER (LOUDS MILL) STW","A2","WwTW/Sewage Treatment Works (water company)","SEWAGE TREATMENT WORKS","ST GEORGES ROAD","DORCHESTER","DORSET","DT1 1PE","DORSET UA","SY7090090230","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","041639","1","RIVER FROME","1.0","Freshwater river","","09/19/90 00:00:00","12/20/01 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","T","Trade","SY7096090360","2","SB","SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY","SY7093090250","POINT (370900 90230)"
"WESSEX WATER SERVICES LIMITED","MILBORNE ST. ANDREW STW","A2","WwTW/Sewage Treatment Works (water company)","SNAG LANE","-","MILBORNE ST.ANDREW","DORSET","DT11 0JS","DORSET UA","SY8038096680","BERE STREAM","44/44-","SW","EA South West Region","042116","1","BERE STREAM(S)","1.0","Freshwater river","06/24/92 00:00:00","06/24/92 00:00:00","03/29/06 00:00:00","N3","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)","1","S","Sewage - water company","SY8025096490","1","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY8034096690","POINT (380380 96680)"
"WESSEX WATER SERVICES LIMITED","BELHUISH WATER TREATMENT WORKS","36","WTW/Water Collection/Treatment/Supply","EAST BURTON ROAD","EAST BURTON","WOOL","DORSET","BH20 6HF","DORSET UA","SY8365086800","FROME -TADNOLL TO WAREHAM","44/59-","SW","EA South West Region","041854","1","","1.0","Freshwater river","","09/12/89 00:00:00","03/01/06 00:00:00","K5","REVOKED NEW CONSENT ISSUED (WATER ACT 1989 SECTION 113)","1","T","Trade","SY8362084800","1","TA","TRADE DISCHARGES - PROCESS EFFLUENT - WATER COMPANY (WTW)","SY8362084800","POINT (383650 86800)"
"MRS MARY MURRAY","1-4 PUDDLETOWN ROAD","A1","Domestic property (multiple) (incl farm houses)","WORGRET HEATH","WAREHAM","","DORSET","BH20 6AE","DORSET UA","SY9006787091","FROME -TADNOLL TO WAREHAM","44/59-","SW","EA South West Region","042507","1","SOAKAWAY","3.0","Into land / infiltration system","10/12/93 00:00:00","10/11/93 00:00:00","10/17/03 00:00:00","N3","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)","1","U","Sewage - not water company","SY8969087160","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY8969087160","POINT (390067 87091)"
"TRAFALGAR FISHERIES","HUISH TROUT FARM","03","Fish + Aquaculture/Fish Farm/Cress Farm","SYDLING ST NICHOLAS","DORCHESTER","DORSET","DT2 9NS","DT2 9NS","DORSET UA","SY6320098800","SYDLING WATER","44/54-","SW","EA South West Region","042698","1","SYDLING WATER","1.0","Freshwater river","06/10/94 00:00:00","04/07/94 00:00:00","09/25/00 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","T","Trade","SY6320098540","1","AC","AGRICULTURE - FISH FARMING - WATER COMPANY","SY6320098540","POINT (363200 98800)"
"WESSEX WATER SERVICES LIMITED","WARMWELL STW","A2","WwTW/Sewage Treatment Works (water company)","CROSSWAYS","WARMWELL","DORCHESTER","DORSET","DT2 8JD","DORSET UA","SY7648087750","TADNOLL BROOK/EMPOOL STRM","44/58-","SW","EA South West Region","040100","1","TADNOL BROOK (S)","1.0","Freshwater river","","07/30/85 00:00:00","08/01/04 00:00:00","K7","REVOKED - UNSPECIFIED","1","S","Sewage - water company","SY7647087410","1","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY7648087670","POINT (376480 87750)"
"WEST MILLS MANAGEMENT CO","FLAT 1-3 WEST MILLS","A1","Domestic property (multiple) (incl farm houses)","WAREHAM COMMON","WAREHAM","","DORSET","BH20 6AA","DORSET UA","SY9134087580","PIDDLE-BERE STM TO WAREHM","44/45-","SW","EA South West Region","040145","1","SOAKAWAY(SURF.WTR TO MILL STR)","3.0","Into land / infiltration system","10/01/85 00:00:00","10/15/85 00:00:00","12/16/12 00:00:00","N1","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 88)","1","U","Sewage - not water company","SY9127087550","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY9127087550","POINT (391340 87580)"
"MILL STREET HOUSING SOCIETY","OLD MILL FLATS","A1","Domestic property (multiple) (incl farm houses)","HOLLOWAY ROAD","DORCHESTER","DORSET","","","DORSET UA","SY6997090600","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","040170","1","MILL STREAM, TRIBUTARY R.FROME","1.0","Freshwater river","","12/01/85 00:00:00","08/10/04 00:00:00","K6","CONSENT REVOKED - DISCHARGE CEASED (WRA  91, SCHED 10 & 6)","2","T","Trade","SY6997090610","1","DE","MISCELLANEOUS DISCHARGES - SURFACE WATER","SY6997090610","POINT (369970 90600)"
"VITACRESS SALADS LIMITED.","NEW DWELLING AT HOLLYBUSH FARM","A0","Domestic property (single) (incl farm house)","ROKE ROAD","BERE REGIS","","DORSET","BH20 7JF","DORSET UA","SY8372095860","BERE STREAM","44/44-","SW","EA South West Region","042894","1","DISCHARGE TO SOAKAWAY","3.0","Into land / infiltration system","01/04/96 00:00:00","01/03/96 00:00:00","12/16/12 00:00:00","N3","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)","1","U","Sewage - not water company","SY8382095760","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY8382095760","POINT (383720 95860)"
