"COMPANY_NAME","DISCHARGE_SITE_NAME","DISCHARGE_SITE_TYPE_CODE","DSI_TYPE_DESCRIPTION","ADD_OF_DISCHARGE_SITE_LINE_1","ADD_OF_DISCHARGE_SITE_LINE_2","ADD_OF_DISCHARGE_SITE_LINE_3","ADD_OF_DISCHARGE_SITE_LINE_4","ADD_OF_DISCHARGE_SITE_PCODE","DISTRICT_COUNCIL","DISCHARGE_NGR","CATC_NAME","CATCHMENT_CODE","EA_REGION","SOURCE","PERMIT_NUMBER","PERMIT_VERSION","RECEIVING_WATER","RECEIVING_ENVIRON_TYPE_CODE","REC_ENV_CODE_DESCRIPTION","ISSUED_DATE","EFFECTIVE_DATE","REVOCATION_DATE","STATUS_OF_PERMIT","STATUS_DESCRIPTION","OUTLET_NUMBER","OUTLET_TYPE_CODE","OUTLET_TYPE_DESCRIPTION","OUTLET_GRID_REF","EFFLUENT_NUMBER","EFFLUENT_TYPE","EFF_TYPE_DESCRIPTION","EFFLUENT_GRID_REF","geometry"
"MR OWEN DAVIES","THE SUN INN","56","Food+Beverage Services/Cafe/Restaurant/Pub","LOWER BURTON","CHARMINSTER","DORCHESTER","DORSET","DT2 7RZ","DORSET UA","SY6875091700","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","042121","1","SOAKAWAY","3.0","Into land / infiltration system","","04/09/92 00:00:00","10/01/96 00:00:00","E3","LAPSED UNDER SCHEDULE 23 ENVIRONMENT ACT 1995","1","U","Sewage - not water company","SY6880091700","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY6880091700","POINT (368750 91700)"
"WAREHAM FOREST TOURING PARK LIMITED","WAREHAM FOREST TOURING PARK","A1","Domestic property (multiple) (incl farm houses)","NORTH TRIGON","WAREHAM","DORSET","","BH20 7NZ","DORSET UA","SY8910091400","PIDDLE-BERE STM TO WAREHM","44/45-","SW","EA South West Region","042395","1","SOAKAWAY","3.0","Into land / infiltration system","06/22/93 00:00:00","06/17/93 00:00:00","05/25/15 00:00:00","E8","SURRENDERED UNDER EPR 2010","2","U","Sewage - not water company","SY8920091370","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY8920091370","POINT (389100 91400)"
"MR & MRS A C FRY","KINGSTON BARNS ADJ.GREYSTONE COURT","A1","Domestic property (multiple) (incl farm houses)","KINGSTON","NEAR WAREHAM","DORSET","","","DORSET UA","SY9618079310","POOLE - WEYMOUTH COAST","44/03-","SW","EA South West Region","042988","1","UN-NAMED STREAM","1.0","Freshwater river","08/08/95 00:00:00","04/01/08 00:00:00","03/08/21 00:00:00","E8","SURRENDERED UNDER EPR 2010","1","U","Sewage - not water company","SY9619079420","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY9619079420","POINT (396180 79310)"
"TRUSTEES OF MR DE SCOTT","BRADLE FARM","A0","Domestic property (single) (incl farm house)","BRADLE","WAREHAM","","DORSET","BH20 5NU","DORSET UA","SY9315080640","POOLE HARBR/CORFE/SHERFD","44/90-","SW","EA South West Region","040284","1","SOAKAWAY","3.0","Into land / infiltration system","11/25/86 00:00:00","12/01/86 00:00:00","12/16/12 00:00:00","N1","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 88)","1","U","Sewage - not water company","SY9315080680","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY9315080680","POINT (393150 80640)"
"MRS T COOMBS","1-4 MANOR FARM BARNS","A1","Domestic property (multiple) (incl farm houses)","EAST STOKE","WAREHAM","","DORSET","BH20 6AW","DORSET UA","SY8700086580","FROME -TADNOLL TO WAREHAM","44/59-","SW","EA South West Region","040138","1","SOAKAWAY","3.0","Into land / infiltration system","10/02/85 00:00:00","10/01/85 00:00:00","12/16/12 00:00:00","N1","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 88)","1","U","Sewage - not water company","SY8700086580","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY8700086580","POINT (387000 86580)"
"MILL STREET HOUSING SOCIETY","OLD MILL FLATS","A1","Domestic property (multiple) (incl farm houses)","HOLLOWAY ROAD","DORCHESTER","DORSET","","","DORSET UA","SY6997090600","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","040170","1","MILL STREAM, TRIBUTARY R.FROME","1.0","Freshwater river","","12/01/85 00:00:00","08/10/04 00:00:00","K6","CONSENT REVOKED - DISCHARGE CEASED (WRA  91, SCHED 10 & 6)","1","T","Trade","SY6996090620","1","DE","MISCELLANEOUS DISCHARGES - SURFACE WATER","SY6996090620","POINT (369970 90600)"
"MR C BARTER","WARMWELL WATERCRESS FARM","03","Fish + Aquaculture/Fish Farm/Cress Farm","WARMWELL","DORCHESTER","","DORSET","DT2 8JG","DORSET UA","SY7492087270","TADNOLL BROOK/EMPOOL STRM","44/58-","SW","EA South West Region","043238","1","TADNOLL BROOK","1.0","Freshwater river","03/28/96 00:00:00","03/29/96 00:00:00","10/24/02 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","T","Trade","SY7473087330","1","AD","AGRICULTURE - WATER CRESS FARMING","SY7473087330","POINT (374920 87270)"
"MR C BARTER","BROCKHILL WATERCRESS FARM","03","Fish + Aquaculture/Fish Farm/Cress Farm","TURNERS PUDDLE","WAREHAM","","DORSET","BH20 7NH","DORSET UA","SY8369092820","PIDDLE-DV'LS BK-BERE STRM","44/43-","SW","EA South West Region","043245","1","MIDDLE PIDDLE","1.0","Freshwater river","03/28/96 00:00:00","03/29/96 00:00:00","10/24/02 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","2","T","Trade","SY8362092940","1","AD","AGRICULTURE - WATER CRESS FARMING","SY8368092950","POINT (383690 92820)"
"MILTON ABBEY SCHOOL SERVICES LIMITED","MILTON ABBEY SCHOOL","85","Education/Nursery/School/College/Uni/Training Venue","MILTON ABBAS","BLANDFORD FORUM","DORSET","","DT11 0BZ","DORSET UA","ST7993002580","BERE STREAM","44/44-","SW","EA South West Region","040712","1","SOAKAWAY","3.0","Into land / infiltration system","","05/01/88 00:00:00","03/20/13 00:00:00","N1","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 88)","1","D","Miscellaneous","ST7991002480","1","DB","MISCELLANEOUS DISCHARGES - SWIMMING POOL WATER","ST7991002480","POINT (379930 102580)"
"MANOR COTTAGES MANAGEMENT LIMITED","CROSS LANE FARM","A1","Domestic property (multiple) (incl farm houses)","CROSS LANES","MELCOMBE BINGHAM","DORCHESTER","DORSET","DT2 7NZ","DORSET UA","ST7600002280","DEVILS BROOK/CHESILBN STM","44/42-","SW","EA South West Region","043311","1","SOAKAWAY","5.0","Into groundwater via borehole","06/14/96 00:00:00","05/31/96 00:00:00","12/16/12 00:00:00","N3","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)","1","U","Sewage - not water company","ST7604002260","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","ST7604002270","POINT (376000 102280)"
"HALL & WOODHOUSE LIMITED","SILENT WOMAN INN","56","Food+Beverage Services/Cafe/Restaurant/Pub","COLDHARBOUR","WAREHAM","DORSET","","","DORSET UA","SY9030089700","PIDDLE-BERE STM TO WAREHM","44/45-","SW","EA South West Region","050660","1","","1.0","Freshwater river","","02/15/68 00:00:00","10/10/16 00:00:00","E8","SURRENDERED UNDER EPR 2010","1","U","Sewage - not water company","SY9030089700","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY9030089700","POINT (390300 89700)"
"MR PETER CYRIL OLD","GOLDEN SPRINGS FISH FARM","03","Fish + Aquaculture/Fish Farm/Cress Farm","WADDOCK CROSS","DORCHESTER","DORSET","","DT2 8QY","DORSET UA","SY7920090900","FROME,S.WINTBNE-TADNOLL","44/57-","SW","EA South West Region","040665","1","RIVER FROME","1.0","Freshwater river","","02/01/88 00:00:00","12/04/09 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","2","T","Trade","SY7937090950","1","AC","AGRICULTURE - FISH FARMING - WATER COMPANY","SY7937090950","POINT (379200 90900)"
"O.E.D. LIMITED (MR D SARGENT)","HYDE HOUSE","A1","Domestic property (multiple) (incl farm houses)","HYDE","WAREHAM","DORSET","","BH20 7NX","DORSET UA","SY8701090530","PIDDLE-BERE STM TO WAREHM","44/45-","SW","EA South West Region","040667","1","PIDDLE/TRENT RIVER","1.0","Freshwater river","","08/01/88 00:00:00","12/21/98 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","U","Sewage - not water company","SY8698090430","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY8698090430","POINT (387010 90530)"
"MR N DEAR","NEW BARN","A0","Domestic property (single) (incl farm house)","BRADFORD PEVERELL","DORCHESTER","","DORSET","DT2 9SD","DORSET UA","SY6570092350","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","041027","1","SOAKAWAY","3.0","Into land / infiltration system","04/04/89 00:00:00","03/28/89 00:00:00","12/16/12 00:00:00","N1","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 88)","1","U","Sewage - not water company","SY6565092340","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY6565092340","POINT (365700 92350)"
"TRUSTEES OF THE WELD ESTATE","BINDON ABBEY HOUSE","A0","Domestic property (single) (incl farm house)","BINDON LANE","EAST STOKE","WAREHAM","DORSET","BH20 6AS","DORSET UA","SY8524086750","FROME -TADNOLL TO WAREHAM","44/59-","SW","EA South West Region","041349","1","DISCHARGE TO SOAKAWAY","3.0","Into land / infiltration system","","05/31/89 00:00:00","04/01/97 00:00:00","E3","LAPSED UNDER SCHEDULE 23 ENVIRONMENT ACT 1995","1","U","Sewage - not water company","SY8534086780","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY8534086780","POINT (385240 86750)"
"THE WATERCRESS COMPANY LIMITED","WADDOCK CROSS WATERCRESS BEDS","03","Fish + Aquaculture/Fish Farm/Cress Farm","WADDOCK CROSS","WADDOCK","DORCHESTER","DORSET","DT2 8QY","DORSET UA","SY7980190850","FROME,S.WINTBNE-TADNOLL","44/57-","SW","EA South West Region","400114/CF/01","1","TRIB. OF RIVER FROME","1.0","Freshwater river","02/10/97 00:00:00","02/10/97 00:00:00","09/14/11 00:00:00","E4","NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","A","Agriculture","SY7953090900","1","AD","AGRICULTURE - WATER CRESS FARMING","SY7953090900","POINT (379801 90850)"
"BUCANNEER HOLDINGS LIMITED","THE SUN INN","56","Food+Beverage Services/Cafe/Restaurant/Pub","LOWER BURTON","CHARMINSTER","DORCHESTER","DORSET","DT2 7RZ","DORSET UA","SY6875091700","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","400387/PA/01","1","SOAKAWAY","3.0","Into land / infiltration system","05/30/97 00:00:00","05/30/97 00:00:00","10/17/05 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","U","Sewage - not water company","SY6880091700","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY6880091700","POINT (368750 91700)"
"SPREYER, P","LITTLE WOOLGARSTON FARM(WAREHAM)","01","Farms (not house)/Crop + Animal Rearing/Plant Nursery","CORFE CASTLE","WAREHAM","DORSET","","","DORSET UA","SY9760081500","POOLE HARBR/CORFE/SHERFD","44/90-","SW","EA South West Region","050408","1","","","","","10/05/66 00:00:00","10/01/96 00:00:00","E3","LAPSED UNDER SCHEDULE 23 ENVIRONMENT ACT 1995","1","T","Trade","SY9760081500","1","AA","AGRICULTURE - ARABLE FARMING","SY9760081500","POINT (397600 81500)"
"WESSEX WATER SERVICES LIMITED","SYDLING ST.NICHOLAS WRC","A2","WwTW/Sewage Treatment Works (water company)","DORCHESTER ROAD","SYDLING ST NICHOLAS","DORCHESTER","DORSET","DT2 9NS","DORSET UA","SY6313498627","SYDLING WATER","44/54-","SW","EA South West Region","401025","1","SYDLING WATER(S)","1.0","Freshwater river","06/15/01 00:00:00","04/30/01 00:00:00","03/31/09 00:00:00","E4","NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","S","Sewage - water company","SY6320098450","1","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY6320098450","POINT (363134 98627)"
"WESSEX WATER SERVICES LIMITED","CSO AT SCOUT HUT","A3","Storm Tank/CSO on Sewerage Network (water company)","GEORGES ROAD","DORCHESTER","","DORSET",".","DORSET UA","SY7018190397","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","400690","1","(S) MILL STREAM","1.0","Freshwater river","06/04/99 00:00:00","06/04/99 00:00:00","03/30/02 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","S","Sewage - water company","SY7085090330","1","SC","SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY","SY7084890329","POINT (370181 90397)"
"MR DAVID PHILPOTT","PLOT 2","A0","Domestic property (single) (incl farm house)","CREECH BOTTOM","NEAR WAREHAM","DORSET",".","BH20 5DQ","DORSET UA","SY9220084360","FROME -TADNOLL TO WAREHAM","44/59-","SW","EA South West Region","401142","1","SOAKAWAY","3.0","Into land / infiltration system","08/24/01 00:00:00","08/24/01 00:00:00","03/25/02 00:00:00","E2","REVOKED (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","U","Sewage - not water company","SY9217084400","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY9217084400","POINT (392200 84360)"
"MR L E JAHN","WOODY HYDE CAMPSITE","55","Holiday Accom/Camp Site/Caravan Site/Hotel/Hostel","HARMAN'S CROSS","SWANAGE","DORSET",".","BH20 5HT","DORSET UA","SY9742080200","POOLE HARBR/CORFE/SHERFD","44/90-","SW","EA South West Region","400812","1","SOAKAWAY","3.0","Into land / infiltration system","10/08/99 00:00:00","09/28/99 00:00:00","06/06/03 00:00:00","K2","CONSENT REVOKED OR REVISED - NEW CONSENT ISSUED (37(1))","1","U","Sewage - not water company","SY9756079990","1","UZ","SEWAGE DISCHARGES - UNSPECIFIED - NOT WATER COMPANY","SY9744080110","POINT (397420 80200)"
"MILTON ABBEY SCHOOL SERVICES LIMITED","MILTON ABBEY SCHOOL","85","Education/Nursery/School/College/Uni/Training Venue","MILTON ABBAS","BLANDFORD FORUM","DORSET","","DT11 0BZ","DORSET UA","ST7993002580","BERE STREAM","44/44-","SW","EA South West Region","040712","1","SOAKAWAY","3.0","Into land / infiltration system","","05/01/88 00:00:00","03/20/13 00:00:00","N1","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 88)","2","D","Miscellaneous","ST7992002460","2","DB","MISCELLANEOUS DISCHARGES - SWIMMING POOL WATER","ST7992002460","POINT (379930 102580)"
"WESSEX WATER SERVICES LIMITED","BLACKHEATH WWTW","A2","WwTW/Sewage Treatment Works (water company)","BLOXWORTH","WAREHAM","","DORSET","BH20 7EJ","DORSET UA","SY8995093350","HOLES BAY","44/95-","SW","EA South West Region","042451","2","SHERFORD RIVER (S)","1.0","Freshwater river","08/05/93 00:00:00","12/31/05 00:00:00","03/31/09 00:00:00","N3","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)","3","S","Sewage - water company","SY9092092600","1","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY8977093260","POINT (389950 93350)"
"HOLLYBUSH LEISURE LTD","KEMPS COUNTRY HOUSE","55","Holiday Accom/Camp Site/Caravan Site/Hotel/Hostel","HOTEL RESTAURANT","EAST STOKE","WAREHAM","DORSET","BH20 6AL","DORSET UA","SY8803087080","FROME -TADNOLL TO WAREHAM","44/59-","SW","EA South West Region","402228","1","SOAKAWAY(G)","3.0","Into land / infiltration system","06/26/07 00:00:00","06/26/07 00:00:00","03/27/12 00:00:00","K7","REVOKED - UNSPECIFIED","1","Y","Sewage and Trade combined","SY8801087110","1","YZ","SEWAGE & TRADE COMBINED - UNSPECIFIED","SY8801087110","POINT (388030 87080)"
"WESSEX WATER SERVICES LIMITED","CHURCH KNOWLE ANIMAL SANCTUARY PS","A4","Pumping Station on Sewerage Network (water company)","ANIMAL SANCTUARY PUMPING STATION","CHURCH KNOWLE","","DORSET","BH20 5NN","DORSET UA","SY9375681584","POOLE HARBR/CORFE/SHERFD","44/90-","SW","EA South West Region","401419","1","A TRIBUTARY OF THE CORFE RIVER","1.0","Freshwater river","10/22/07 00:00:00","10/22/07 00:00:00","09/29/20 00:00:00","E4","NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","S","Sewage - water company","SY9377081590","1","SD","SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY","SY9377081590","POINT (393756 81584)"
"PURBECK SHOOTING SCHOOL LIMITED","PURBECK SHOOTING SCHOOL","93","Sport, Amusement+Recreation/Golf Club/Gym/Theme Pk/Spa","PUDDLETOWN ROAD","WAREHAM","","DORSET","BH20 7HN","DORSET UA","SY8468590390","FROME -TADNOLL TO WAREHAM","44/59-","SW","EA South West Region","NPSWQD002470","1","GROUND WATERS VIA A SOAKAWAY","3.0","Into land / infiltration system","06/12/08 00:00:00","06/12/08 00:00:00","06/12/20 00:00:00","E4","NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","U","Sewage - not water company","SY8494090285","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY8494090285","POINT (384685 90390)"
"ORGANFORD MANOR COUNTRY PARK LLP","ORGANFORD MANOR CARAVAN PARK","55","Holiday Accom/Camp Site/Caravan Site/Hotel/Hostel","ORGANFORD MANOR COUNTRY PARK","ORGANFORD ROAD ORGANFORD","POOLE","DORSET","BH16 6ES","DORSET UA","SY9444992430","HOLES BAY","44/95-","SW","EA South West Region","NPSWQD008512","1","DITCH TRIB OF RIVER SHERFORD","1.0","Freshwater river","10/05/09 00:00:00","10/05/09 00:00:00","05/15/12 00:00:00","K7","REVOKED - UNSPECIFIED","1","U","Sewage - not water company","SY9437792365","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY9437792365","POINT (394449 92430)"
"ANGEL AUTOS LIMITED","ANGEL AUTOS LIMITED","38","Waste Collection/Treatment/Disposal/Materials Recovery","WARDON HILL","DORCHESTER","DORSET",".","DT2 9PW","DORSET UA","ST6068002900","FROME ABOVE RIVER HOOKE","44/51-","SW","EA South West Region","401752","1","GROUNDWATER VIA SOAKAWAY","3.0","Into land / infiltration system","07/08/04 00:00:00","07/08/04 00:00:00","06/12/10 00:00:00","E3","LAPSED UNDER SCHEDULE 23 ENVIRONMENT ACT 1995","1","T","Trade","ST6078002940","1","TD","TRADE DISCHARGES - SITE DRAINAGE (CONTAM SURFACE WATER, NOT WASTE SIT","ST6077002960","POINT (360680 102900)"
"MR PETER HISCOCK","PLUSH CRICKET CLUB","A0","Domestic property (single) (incl farm house)","PLUSH","PIDDLETRENTHIDE","DORCHESTER","DORSET","DT2 7RQ","DORSET UA","ST7130001664","PIDDLE TO DEVILS BROOK","44/41-","SW","EA South West Region","NPSWQD006467","1","GROUND VIA SOAKAWAY","3.0","Into land / infiltration system","02/02/09 00:00:00","02/02/09 00:00:00","12/11/12 00:00:00","E4","NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)","1","U","Sewage - not water company","ST7130001622","01","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","ST7130001622","POINT (371300 101664)"
"MR DAY","THOMAS HARDYE SCHOOL","85","Education/Nursery/School/College/Uni/Training Venue","QUEENS AVENUE","DORCHESTER","","DORSET","DT1 2ET","DORSET UA","SY6814089940","SOUTH WINTERBOURNE","44/56-","SW","EA South West Region","042932","2","SOAKAWAY","3.0","Into land / infiltration system","12/16/12 00:00:00","12/16/12 00:00:00","02/27/13 00:00:00","E8","SURRENDERED UNDER EPR 2010","1","T","Trade","SY6812089870","1","TC","TRADE DISCHARGES - SITE DRAINAGE","SY6812089870","POINT (368140 89940)"
"BURGESS & ASSOCIATES, J","NOS. 82-88 FURZEBROOK RD","A1","Domestic property (multiple) (incl farm houses)","WAREHAM","","","DORSET","BH20 5DD","DORSET UA","SY9270085400","FROME -TADNOLL TO WAREHAM","44/59-","SW","EA South West Region","050864","2","GROUNDWATER","3.0","Into land / infiltration system","12/17/12 00:00:00","12/17/12 00:00:00","02/22/13 00:00:00","E8","SURRENDERED UNDER EPR 2010","1","U","Sewage - not water company","SY9270085400","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY9270085400","POINT (392700 85400)"
"HYDROCK CONTRACTING LIMITED","DORCHESTER SERVICE STATION","42","Groundwater Remediation Sites/Civil Engineering","LONDON ROAD","DORCHESTER","","DORSET","DT1 1NE","DORSET UA","SY6978890790","","","SW","EA South West Region","EPRDB3392RV","1","GROUNDWATER VIA BOREHOLES","3.0","Into land / infiltration system","11/20/15 00:00:00","11/20/15 00:00:00","03/13/17 00:00:00","E8","SURRENDERED UNDER EPR 2010","4","T","Trade","SY6978690757","4","TF","TRADE DISCHARGES - PROCESS EFFLUENT - NOT WATER COMPANY","SY6974390772","POINT (369788 90790)"
"HYDROCK CONTRACTING LIMITED","DORCHESTER SERVICE STATION","42","Groundwater Remediation Sites/Civil Engineering","LONDON ROAD","DORCHESTER","","DORSET","DT1 1NE","DORSET UA","SY6978890790","","","SW","EA South West Region","EPRDB3392RV","1","GROUNDWATER VIA BOREHOLES","3.0","Into land / infiltration system","11/20/15 00:00:00","11/20/15 00:00:00","03/13/17 00:00:00","E8","SURRENDERED UNDER EPR 2010","5","T","Trade","SY6979690760","5","TF","TRADE DISCHARGES - PROCESS EFFLUENT - NOT WATER COMPANY","SY6974390772","POINT (369788 90790)"
"WESSEX WATER SERVICES LIMITED","BLACKHEATH WWTW","A2","WwTW/Sewage Treatment Works (water company)","BLOXWORTH","WAREHAM","","DORSET","BH20 7EJ","DORSET UA","SY8995093350","HOLES BAY","44/95-","SW","EA South West Region","042451","5","SHERFORD RIVER","1.0","Freshwater river","09/20/18 00:00:00","09/20/18 00:00:00","01/05/22 00:00:00","E7","VARIED UNDER EPR 2010","2","S","Sewage - water company","SY9094392658","2","SB","SEWAGE DISCHARGES - STW STORM OVERFLOW/STORM TANK - WATER COMPANY","SY8977493251","POINT (389950 93350)"
"WESSEX WATER SERVICES LIMITED","MORRIS ROAD PUMPING STATION","A4","Pumping Station on Sewerage Network (water company)","OFF COLOGNE ROAD","BOVINGTON","WAREHAM","DORSET","BH20 6NT","DORSET UA","SY8406788518","","","SW","EA South West Region","401421","2","TRIBUTARY OF THE RIVER FROME","1.0","Freshwater river","01/15/21 00:00:00","01/15/21 00:00:00","09/29/21 00:00:00","E7","VARIED UNDER EPR 2010","1","S","Sewage - water company","SY8406988509","1","SC","SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY","SY8406788517","POINT (384067 88518)"
"WESSEX WATER SERVICES LIMITED","CSO AT TOP OF SOUTH WALKS","A3","Storm Tank/CSO on Sewerage Network (water company)","DORCHESTER","","","DORSET","DT1 1DS","DORSET UA","SY6919790339","FROME/CERNE,SYDLG-S.WINTB","44/55-","SW","EA South West Region","400688","3","RIVER FROME VIA SWS","1.0","Freshwater river","09/24/20 00:00:00","09/24/20 00:00:00","09/29/21 00:00:00","E7","VARIED UNDER EPR 2010","1","S","Sewage - water company","SY6954890767","1","SC","SEWAGE DISCHARGES - SEWER STORM OVERFLOW - WATER COMPANY","SY6920090304","POINT (369197 90339)"
"WESSEX WATER SERVICES LIMITED","BLACKHEATH WWTW","A2","WwTW/Sewage Treatment Works (water company)","BLOXWORTH","WAREHAM","","DORSET","BH20 7EJ","DORSET UA","SY8995093350","HOLES BAY","44/95-","SW","EA South West Region","042451","6","SHERFORD RIVER","1.0","Freshwater river","01/06/22 00:00:00","01/06/22 00:00:00","03/30/22 00:00:00","E7","VARIED UNDER EPR 2010","1","S","Sewage - water company","SY9094392658","1","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY8977093260","POINT (389950 93350)"
"WESSEX WATER SERVICES LIMITED","BLACKHEATH WWTW","A2","WwTW/Sewage Treatment Works (water company)","BLOXWORTH","WAREHAM","","DORSET","BH20 7EJ","DORSET UA","SY8995093350","HOLES BAY","44/95-","SW","EA South West Region","042451","7","SHERFORD RIVER","1.0","Freshwater river","01/06/22 00:00:00","03/31/22 00:00:00","03/30/26 00:00:00","E7","VARIED UNDER EPR 2010","1a","S","Sewage - water company","SY9094392658","1","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY8977093260","POINT (389950 93350)"
"WESSEX WATER SERVICES LIMITED","BLACKHEATH WWTW","A2","WwTW/Sewage Treatment Works (water company)","BLOXWORTH","WAREHAM","","DORSET","BH20 7EJ","DORSET UA","SY8995093350","HOLES BAY","44/95-","SW","EA South West Region","042451","7","SHERFORD RIVER","1.0","Freshwater river","01/06/22 00:00:00","03/31/22 00:00:00","03/30/26 00:00:00","E7","VARIED UNDER EPR 2010","2a","S","Sewage - water company","SY9093392599","1","SA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY","SY8977093260","POINT (389950 93350)"
"WESSEX WATER SERVICES LIMITED","UPTON FRENCH'S FARM PUMPING STATION","A3","Storm Tank/CSO on Sewerage Network (water company)","UPTON FRENCH'S FARM PUMPING STN","5 POLICEMAN'S LANE","POOLE","DORSET","BH16 5RF","DORSET UA","SY9685093152","","","SW","EA South West Region","EPRJB3793WZ","1","TRIBUTARY OF ROCK LEA RIVER","1.0","Freshwater river","09/15/23 00:00:00","09/15/23 00:00:00","01/31/25 00:00:00","E6","NEW ISSUED UNDER EPR 2010","1","S","Sewage - water company","SY9684693154","1","SD","SEWAGE DISCHARGES - PUMPING STATION - WATER COMPANY","SY9685093152","POINT (396850 93152)"
"MR P BELL","SCOLES MANOR BARNS","A0","Domestic property (single) (incl farm house)","KINGSTON","CORFE CASTLE","WAREHAM","DORSET","BH20 5LG","DORSET UA","SY9591080090","POOLE HARBR/CORFE/SHERFD","44/90-","SW","EA South West Region","041540","1","SOAKAWAY","3.0","Into land / infiltration system","08/09/90 00:00:00","08/06/90 00:00:00","12/16/12 00:00:00","N3","NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)","1","U","Sewage - not water company","SY9641079990","1","UA","SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY","SY9641079990","POINT (395910 80090)"
