samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,DISCHARGE_SITE_NAME_1,MATCH_CONFIDENCE_1,PERMIT_NUMBER_1,PERMIT_VERSION_1,DISCHARGE_EASTING_1,DISCHARGE_NORTHING_1,DISCHARGE_SITE_NAME_2,MATCH_CONFIDENCE_2,PERMIT_NUMBER_2,PERMIT_VERSION_2,DISCHARGE_EASTING_2,DISCHARGE_NORTHING_2,DISCHARGE_SITE_NAME_3,MATCH_CONFIDENCE_3,PERMIT_NUMBER_3,PERMIT_VERSION_3,DISCHARGE_EASTING_3,DISCHARGE_NORTHING_3,DISCHARGE_SITE_NAME_4,MATCH_CONFIDENCE_4,PERMIT_NUMBER_4,PERMIT_VERSION_4,DISCHARGE_EASTING_4,DISCHARGE_NORTHING_4
SW-50530190,MAIDEN NEWTON STW  DORCHESTER,360447.147149014,97252.84042899687,MAIDEN NEWTON WATER RECYCLING CENTR,63.492063492063494,041353,6.0,360454.0,97257.0,,,,,,,,,,,,,,,,,,
SW-50590144,EAST STOKE FINAL  WAREHAM,387767.9183658119,86974.94486771678,EAST STOKE SEWAGE TREATMENT WORKS,59.64912280701754,040109,2.0,387780.0,86970.0,,,,,,,,,,,,,,,,,,
SW-50540170,SYDLING WATER U/S HUISH TROUT FARM,363293.5160721587,98900.07907017024,SYDLING ST NICHOLAS PUMPING STATION,52.17391304347826,401196,2.0,363229.0,98910.0,,,,,,,,,,,,,,,,,,
SW-50440153,SOUTHBROOK CRESS OUTLET FROM BED 1 BERE REGIS,384710.0954194673,94611.53917741556,MANOR FARM WATERCRESS BEDS,45.070422535211264,043232,2.0,384760.0,94630.0,MANOR FARM WATERCRESS BEDS,45.070422535211264,043462,2.0,384760.0,94630.0,MANOR FARM WATERCRESS BEDS,45.070422535211264,043231,2.0,384760.0,94630.0,VITACRESS SALADS LTD,30.769230769230774,040200,1.0,384750.0,94590.0
SW-50440146,SOUTHBROOK CRESS OUTLET FROM BEDS 2 TO 4 BERE REGIS,384752.5870388743,94667.01547331944,MANOR FARM WATERCRESS BEDS,41.55844155844156,043232,2.0,384760.0,94630.0,MANOR FARM WATERCRESS BEDS,41.55844155844156,043462,2.0,384760.0,94630.0,MANOR FARM WATERCRESS BEDS,41.55844155844156,043231,2.0,384760.0,94630.0,VITACRESS SALADS LTD,28.16901408450704,040200,1.0,384750.0,94590.0
SW-50440130,BERE STREAM D/S SOUTHBROOK CRESS SETTLEMENT,385145.22049838543,93820.73213467911,DODDINGS FARM,21.42857142857143,043235,2.0,385220.0,93780.0,DODDINGS FARM,21.42857142857143,043236,2.0,385220.0,93780.0,,,,,,,,,,,,
SW-50410164,RIVER PIDDLE AT PIDDLEHINTON,371503.58805221366,97202.70470462849,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-5041GW03,CARTER BARN FARM BOREHOLE,373249.1333242702,97949.61608475928,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50430126,BROCKHILL WATERCRESS FARM B & C 2,383738.3058229474,92924.2118189464,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50440122,DODDINGS FARM WATERCRESS SETTLEMENT POND A1,385319.7232538983,93153.01785243192,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-5043GW06,BROCKHILL CRESS BEDS POINT D,383427.5160150335,92836.23334356103,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50430127,BROCKHILL WATERCRESS FARM B & C 1,383703.09099420416,92946.5629439149,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50440149,SOUTHBROOK CRESS OUTLET FROM BEDS 5 TO 10 BERE REGIS,384829.5362021359,94444.38347067666,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50450110,WAREHAM STW,393577.4947139434,88699.20001521878,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-5044GW02,ROKE WATERCRESS BEDS-PREVIOUS MONITORING ON SITE C3567000,383549.9244145838,95827.20816250166,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-5044GW01,DODDINGS WATERCRESS-PREVIOUS MONITORING ON SITE C3566000,385207.7378408511,93475.82442742106,,0.0,,,,,,,,,,,,,,,,,,,,,,
SW-50440166,ROKE CRESS SETTLEMENT HOLLYBUSH FARM BERE REGIS,383873.7403674895,95626.02410278976,,0.0,,,,,,,,,,,,,,,,,,,,,,
