,EA_REGION,REGION,PERMIT_REF,VERSION,OUTLET_NUMBER,EFFLUENT_NUMBER,MONTH_FROM,MONTH_TO,CODE_1,VAL_1,CODE_2,VAL_2,CODE_3,VAL_3,DETE_CODE,UNITS,DETE,METHOD
98,SW,EA South West Region,041324,9,1,1,1,12,95 PERCENTILE,4000.0,MAXIMUM VALUE,8000.0,,,6051,MICROGRAM PER LITRE,Iron,ABSOLUTE
99,SW,EA South West Region,401056,2,3,3,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
100,SW,EA South West Region,401059,2,1,1,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
101,SW,EA South West Region,400114/CF/01,2,1,1,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
102,SW,EA South West Region,400114/CF/01,2,2,2,1,12,MINIMUM VALUE,6.0,MAXIMUM VALUE,9.0,,,61,PH UNITS,pH,ABSOLUTE
103,SW,EA South West Region,042451,8,2a,1,1,12,MAXIMUM VALUE,56.0,95 PERCENTILE,20.0,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
104,SW,EA South West Region,041518,1,1,1,1,12,MAXIMUM VALUE,4.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",COMPARATIVE
105,SW,EA South West Region,401223,3,2,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
106,SW,EA South West Region,041518,1,2,1,1,12,MINIMUM VALUE,60.0,,,,,9901,PERCENTAGE,"Oxygen, Dissolved, % Saturation",ABSOLUTE
107,SW,EA South West Region,041353,6,1,1,1,12,95 PERCENTILE,20.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
108,SW,EA South West Region,040109,2,1,1,1,12,95 PERCENTILE,15.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
109,SW,EA South West Region,041324,9,1,1,1,12,95 PERCENTILE,40.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
110,SW,EA South West Region,043235,2,2,1,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
111,SW,EA South West Region,401059,2,1,1,1,12,MINIMUM VALUE,6.0,MAXIMUM VALUE,9.0,,,61,PH UNITS,pH,ABSOLUTE
112,SW,EA South West Region,400114/CF/01,2,2,2,1,12,MAXIMUM VALUE,75.0,,,,,6455,MICROGRAM PER LITRE,Zinc,ABSOLUTE
113,SW,EA South West Region,400114/CF/01,2,3,3,1,12,MAXIMUM VALUE,20.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
114,SW,EA South West Region,400607,7,1,1,1,12,95 PERCENTILE,10.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
115,SW,EA South West Region,400607,7,1,1,1,12,95 PERCENTILE,30.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
116,SW,EA South West Region,400607,7,1,1,1,12,MAXIMUM VALUE,0.5,,,,,664,PRESENT/NOT FOUND,"Visible oil or grease, significant trace: Present/Not found (1/0)",ABSOLUTE
117,SW,EA South West Region,042453,6,1,1,1,12,95 PERCENTILE,3.0,,,,,111,MILLIGRAM PER LITRE,Ammoniacal Nitrogen as N,ABSOLUTE
118,SW,EA South West Region,040067,5,1,1,11,4,95 PERCENTILE,20.0,,,,,85,MILLIGRAM PER LITRE,BOD : 5 Day ATU,ABSOLUTE
119,SW,EA South West Region,040067,5,1,1,11,4,95 PERCENTILE,30.0,,,,,135,MILLIGRAM PER LITRE,"Solids, Suspended at 105 C",ABSOLUTE
120,SW,EA South West Region,041518,1,2,1,1,12,MAXIMUM VALUE,0.5,,,,,61,PH UNITS,pH,COMPARATIVE
