id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.easting,samplingPoint.northing,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,observation.month,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit,PERMIT_NUMBER,PERMIT_VERSION,DISCHARGE_EASTING,DISCHARGE_NORTHING,EA_REGION,REGION,OUTLET_NUMBER,EFFLUENT_NUMBER,MONTH_FROM,MONTH_TO,ROW_ID,N,DETE,METHOD,UNITS,RULE_TYPE,RULE_VALUE,ROW_PASS_STATUS,OBSERVATION_GROUPING_PASS_STATUS
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3457054/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-06-15 11:28:00,6,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.76,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,1,pH,ABSOLUTE,PH UNITS,MAXIMUM VALUE,9.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3457054/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-06-15 11:28:00,6,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.76,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,2,pH,ABSOLUTE,PH UNITS,MINIMUM VALUE,5.5,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3457149/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-06-25 10:45:00,6,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.82,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,1,pH,ABSOLUTE,PH UNITS,MAXIMUM VALUE,9.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3457149/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-06-25 10:45:00,6,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.82,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,2,pH,ABSOLUTE,PH UNITS,MINIMUM VALUE,5.5,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3466149/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-20 08:17:00,9,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.67,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,1,pH,ABSOLUTE,PH UNITS,MAXIMUM VALUE,9.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3466149/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-20 08:17:00,9,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.67,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,2,pH,ABSOLUTE,PH UNITS,MINIMUM VALUE,5.5,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3466278/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-30 10:58:00,9,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.71,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,1,pH,ABSOLUTE,PH UNITS,MAXIMUM VALUE,9.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3466278/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-30 10:58:00,9,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.71,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,2,pH,ABSOLUTE,PH UNITS,MINIMUM VALUE,5.5,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3468334/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-10-25 10:37:00,10,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.69,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,1,pH,ABSOLUTE,PH UNITS,MAXIMUM VALUE,9.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3468334/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-10-25 10:37:00,10,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.69,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,2,pH,ABSOLUTE,PH UNITS,MINIMUM VALUE,5.5,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3469393/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-11-15 08:20:00,11,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.83,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,1,pH,ABSOLUTE,PH UNITS,MAXIMUM VALUE,9.0,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50410119/sample/3469393/observation/0061,SW-50410119,PUDDLETOWN STW FE,375103.095792768,94948.98650098246,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-11-15 08:20:00,11,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,61,pH,7.83,PH UNITS,402100,4.0,375050.0,94950.0,SW,EA South West Region,1,1,1,12,51,2,pH,ABSOLUTE,PH UNITS,MINIMUM VALUE,5.5,True,True
https://environment.data.gov.uk/water-quality/sampling-point/SW-50440001/sample/3444056/observation/0135,SW-50440001,MILBORNE ST ANDREW EFFLUENT TO LAGOON,380301.5659997132,96650.3208601829,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-01-25 12:17:00,1,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,135,"Solids, Suspended at 105 C",11.0,MILLIGRAM PER LITRE,042116,4.0,380380.0,96680.0,SW,EA South West Region,1,3,1,12,127,1,"Solids, Suspended at 105 C",ABSOLUTE,MILLIGRAM PER LITRE,MAXIMUM VALUE,100.0,True,True
