,id,samplingPoint.notation,samplingPoint.prefLabel,samplingPoint.longitude,samplingPoint.latitude,samplingPoint.region,samplingPoint.area,samplingPoint.subArea,samplingPoint.samplingPointStatus,samplingPoint.samplingPointType,phenomenonTime,samplingPurpose,sampleMaterialType,determinand.notation,determinand.prefLabel,result,unit,PERMIT_NUMBER,PERMIT_VERSION,MONTH,Unnamed: 0,row_id,n,DETE,DETE_CODE,EA_REGION,EFFLUENT_NUMBER,METHOD,MONTH_FROM,MONTH_TO,OUTLET_NUMBER,PERMIT_REF,REGION,UNITS,VERSION,RULE_TYPE,RULE_VALUE,status
2551,https://environment.data.gov.uk/water-quality/sampling-point/SW-50530190/sample/3463589/observation/6051,SW-50530190,MAIDEN NEWTON STW  DORCHESTER,-2.5623,50.7735,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-08-08 08:49:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,6051,Iron,540.0,MICROGRAM PER LITRE,041353,6.0,8,166,6,2,Iron,6051,SW,1,ABSOLUTE,1,12,1,041353,EA South West Region,MICROGRAM PER LITRE,6,MAXIMUM VALUE,8000.0,PASS
2566,https://environment.data.gov.uk/water-quality/sampling-point/SW-50530190/sample/3466060/observation/6051,SW-50530190,MAIDEN NEWTON STW  DORCHESTER,-2.5623,50.7735,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-12 09:50:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,6051,Iron,590.0,MICROGRAM PER LITRE,041353,6.0,9,166,6,2,Iron,6051,SW,1,ABSOLUTE,1,12,1,041353,EA South West Region,MICROGRAM PER LITRE,6,MAXIMUM VALUE,8000.0,PASS
2581,https://environment.data.gov.uk/water-quality/sampling-point/SW-50530190/sample/3466262/observation/6051,SW-50530190,MAIDEN NEWTON STW  DORCHESTER,-2.5623,50.7735,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-09-29 12:15:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,6051,Iron,630.0,MICROGRAM PER LITRE,041353,6.0,9,166,6,2,Iron,6051,SW,1,ABSOLUTE,1,12,1,041353,EA South West Region,MICROGRAM PER LITRE,6,MAXIMUM VALUE,8000.0,PASS
2596,https://environment.data.gov.uk/water-quality/sampling-point/SW-50530190/sample/3468376/observation/6051,SW-50530190,MAIDEN NEWTON STW  DORCHESTER,-2.5623,50.7735,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-10-29 09:02:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,6051,Iron,770.0,MICROGRAM PER LITRE,041353,6.0,10,166,6,2,Iron,6051,SW,1,ABSOLUTE,1,12,1,041353,EA South West Region,MICROGRAM PER LITRE,6,MAXIMUM VALUE,8000.0,PASS
2611,https://environment.data.gov.uk/water-quality/sampling-point/SW-50530190/sample/3469442/observation/6051,SW-50530190,MAIDEN NEWTON STW  DORCHESTER,-2.5623,50.7735,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,2022-11-18 10:55:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,FINAL SEWAGE EFFLUENT,6051,Iron,1340.0,MICROGRAM PER LITRE,041353,6.0,11,166,6,2,Iron,6051,SW,1,ABSOLUTE,1,12,1,041353,EA South West Region,MICROGRAM PER LITRE,6,MAXIMUM VALUE,8000.0,PASS
2613,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3441117/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-01-13 11:13:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.78,PH UNITS,401223,3.0,1,49,49,1,pH,61,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,PH UNITS,3,MINIMUM VALUE,6.0,PASS
2614,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3441117/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-01-13 11:13:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.78,PH UNITS,401223,3.0,1,91,91,1,pH,61,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,PH UNITS,3,MAXIMUM VALUE,9.0,PASS
2615,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3441117/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-01-13 11:13:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.78,PH UNITS,401223,3.0,1,209,49,2,pH,61,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,PH UNITS,3,MAXIMUM VALUE,9.0,PASS
2616,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3441117/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-01-13 11:13:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.78,PH UNITS,401223,3.0,1,251,91,2,pH,61,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,PH UNITS,3,MINIMUM VALUE,6.0,PASS
2625,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3441117/observation/6455,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-01-13 11:13:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,6455,Zinc,16.0,MICROGRAM PER LITRE,401223,3.0,1,47,47,1,Zinc,6455,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,MICROGRAM PER LITRE,3,MAXIMUM VALUE,75.0,PASS
2626,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3441117/observation/6455,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-01-13 11:13:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,6455,Zinc,16.0,MICROGRAM PER LITRE,401223,3.0,1,92,92,1,Zinc,6455,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,MICROGRAM PER LITRE,3,MAXIMUM VALUE,75.0,PASS
2631,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3442350/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-02-02 12:42:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.83,PH UNITS,401223,3.0,2,49,49,1,pH,61,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,PH UNITS,3,MINIMUM VALUE,6.0,PASS
2632,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3442350/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-02-02 12:42:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.83,PH UNITS,401223,3.0,2,91,91,1,pH,61,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,PH UNITS,3,MAXIMUM VALUE,9.0,PASS
2633,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3442350/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-02-02 12:42:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.83,PH UNITS,401223,3.0,2,209,49,2,pH,61,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,PH UNITS,3,MAXIMUM VALUE,9.0,PASS
2634,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3442350/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-02-02 12:42:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.83,PH UNITS,401223,3.0,2,251,91,2,pH,61,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,PH UNITS,3,MINIMUM VALUE,6.0,PASS
2643,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3442350/observation/6455,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-02-02 12:42:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,6455,Zinc,32.0,MICROGRAM PER LITRE,401223,3.0,2,47,47,1,Zinc,6455,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,MICROGRAM PER LITRE,3,MAXIMUM VALUE,75.0,PASS
2644,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3442350/observation/6455,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-02-02 12:42:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,6455,Zinc,32.0,MICROGRAM PER LITRE,401223,3.0,2,92,92,1,Zinc,6455,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,MICROGRAM PER LITRE,3,MAXIMUM VALUE,75.0,PASS
2649,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3444884/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-03-09 09:30:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.99,PH UNITS,401223,3.0,3,49,49,1,pH,61,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,PH UNITS,3,MINIMUM VALUE,6.0,PASS
2650,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3444884/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-03-09 09:30:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.99,PH UNITS,401223,3.0,3,91,91,1,pH,61,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,PH UNITS,3,MAXIMUM VALUE,9.0,PASS
2651,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3444884/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-03-09 09:30:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.99,PH UNITS,401223,3.0,3,209,49,2,pH,61,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,PH UNITS,3,MAXIMUM VALUE,9.0,PASS
2652,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3444884/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-03-09 09:30:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.99,PH UNITS,401223,3.0,3,251,91,2,pH,61,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,PH UNITS,3,MINIMUM VALUE,6.0,PASS
2655,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3444884/observation/6455,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-03-09 09:30:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,6455,Zinc,15.0,MICROGRAM PER LITRE,401223,3.0,3,47,47,1,Zinc,6455,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,MICROGRAM PER LITRE,3,MAXIMUM VALUE,75.0,PASS
2656,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3444884/observation/6455,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-03-09 09:30:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,6455,Zinc,15.0,MICROGRAM PER LITRE,401223,3.0,3,92,92,1,Zinc,6455,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,MICROGRAM PER LITRE,3,MAXIMUM VALUE,75.0,PASS
2661,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3448322/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-04-25 10:27:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.71,PH UNITS,401223,3.0,4,49,49,1,pH,61,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,PH UNITS,3,MINIMUM VALUE,6.0,PASS
2662,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3448322/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-04-25 10:27:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.71,PH UNITS,401223,3.0,4,91,91,1,pH,61,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,PH UNITS,3,MAXIMUM VALUE,9.0,PASS
2663,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3448322/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-04-25 10:27:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.71,PH UNITS,401223,3.0,4,209,49,2,pH,61,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,PH UNITS,3,MAXIMUM VALUE,9.0,PASS
2664,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3448322/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-04-25 10:27:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.71,PH UNITS,401223,3.0,4,251,91,2,pH,61,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,PH UNITS,3,MINIMUM VALUE,6.0,PASS
2667,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3448322/observation/0135,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-04-25 10:27:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,135,"Solids, Suspended at 105 C",4.1,MILLIGRAM PER LITRE,401223,3.0,4,46,46,1,"Solids, Suspended at 105 C",135,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,MILLIGRAM PER LITRE,3,MAXIMUM VALUE,20.0,PASS
2668,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3448322/observation/0135,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-04-25 10:27:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,135,"Solids, Suspended at 105 C",4.1,MILLIGRAM PER LITRE,401223,3.0,4,48,48,1,"Solids, Suspended at 105 C",135,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,MILLIGRAM PER LITRE,3,MAXIMUM VALUE,20.0,PASS
2673,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3448322/observation/6455,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-04-25 10:27:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,6455,Zinc,8.0,MICROGRAM PER LITRE,401223,3.0,4,47,47,1,Zinc,6455,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,MICROGRAM PER LITRE,3,MAXIMUM VALUE,75.0,PASS
2674,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3448322/observation/6455,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-04-25 10:27:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,6455,Zinc,8.0,MICROGRAM PER LITRE,401223,3.0,4,92,92,1,Zinc,6455,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,MICROGRAM PER LITRE,3,MAXIMUM VALUE,75.0,PASS
2679,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3449854/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-05-12 11:14:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.63,PH UNITS,401223,3.0,5,49,49,1,pH,61,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,PH UNITS,3,MINIMUM VALUE,6.0,PASS
2680,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3449854/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-05-12 11:14:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.63,PH UNITS,401223,3.0,5,91,91,1,pH,61,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,PH UNITS,3,MAXIMUM VALUE,9.0,PASS
2681,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3449854/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-05-12 11:14:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.63,PH UNITS,401223,3.0,5,209,49,2,pH,61,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,PH UNITS,3,MAXIMUM VALUE,9.0,PASS
2682,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3449854/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-05-12 11:14:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.63,PH UNITS,401223,3.0,5,251,91,2,pH,61,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,PH UNITS,3,MINIMUM VALUE,6.0,PASS
2697,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3452447/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-06-10 10:45:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.62,PH UNITS,401223,3.0,6,49,49,1,pH,61,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,PH UNITS,3,MINIMUM VALUE,6.0,PASS
2698,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3452447/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-06-10 10:45:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.62,PH UNITS,401223,3.0,6,91,91,1,pH,61,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,PH UNITS,3,MAXIMUM VALUE,9.0,PASS
2699,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3452447/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-06-10 10:45:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.62,PH UNITS,401223,3.0,6,209,49,2,pH,61,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,PH UNITS,3,MAXIMUM VALUE,9.0,PASS
2700,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3452447/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-06-10 10:45:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.62,PH UNITS,401223,3.0,6,251,91,2,pH,61,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,PH UNITS,3,MINIMUM VALUE,6.0,PASS
2715,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3457457/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-07-27 10:53:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.95,PH UNITS,401223,3.0,7,49,49,1,pH,61,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,PH UNITS,3,MINIMUM VALUE,6.0,PASS
2716,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3457457/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-07-27 10:53:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.95,PH UNITS,401223,3.0,7,91,91,1,pH,61,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,PH UNITS,3,MAXIMUM VALUE,9.0,PASS
2717,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3457457/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-07-27 10:53:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.95,PH UNITS,401223,3.0,7,209,49,2,pH,61,SW,1,ABSOLUTE,1,12,2,401223,EA South West Region,PH UNITS,3,MAXIMUM VALUE,9.0,PASS
2718,https://environment.data.gov.uk/water-quality/sampling-point/SW-50540137/sample/3457457/observation/0061,SW-50540137,LOWER MAGISTON WATERCRESS FARM C,-2.5185,50.7631,SouthWest,SOUTH WEST - WESSEX,EAST WESSEX,OPEN,AGRICULTURE - WATER CRESS FARMING,2022-07-27 10:53:00,COMPLIANCE AUDIT (PERMIT),TRADE EFFLUENT - FRESHWATER RETURNED ABSTRACTED,61,pH,7.95,PH UNITS,401223,3.0,7,251,91,2,pH,61,SW,1,ABSOLUTE,1,12,1,401223,EA South West Region,PH UNITS,3,MINIMUM VALUE,6.0,PASS
