COMPANY_NAME,DISCHARGE_SITE_NAME,DISCHARGE_SITE_TYPE_CODE,DSI_TYPE_DESCRIPTION,ADD_OF_DISCHARGE_SITE_LINE_1,ADD_OF_DISCHARGE_SITE_LINE_2,ADD_OF_DISCHARGE_SITE_LINE_3,ADD_OF_DISCHARGE_SITE_LINE_4,ADD_OF_DISCHARGE_SITE_PCODE,DISTRICT_COUNCIL,DISCHARGE_NGR,CATC_NAME,CATCHMENT_CODE,EA_REGION,SOURCE,PERMIT_NUMBER,PERMIT_VERSION,RECEIVING_WATER,RECEIVING_ENVIRON_TYPE_CODE,REC_ENV_CODE_DESCRIPTION,ISSUED_DATE,EFFECTIVE_DATE,REVOCATION_DATE,STATUS_OF_PERMIT,STATUS_DESCRIPTION,OUTLET_NUMBER,OUTLET_TYPE_CODE,OUTLET_TYPE_DESCRIPTION,OUTLET_GRID_REF,EFFLUENT_NUMBER,EFFLUENT_TYPE,EFF_TYPE_DESCRIPTION,EFFLUENT_GRID_REF,DISCHARGE_EASTING,DISCHARGE_NORTHING,permit_pair
LYONS SEAFOODS,LYONS SEAFOODS,10,Making of Food Products/Dairy,CHITTERNE ROAD,CODFORD ST. MARY,WARMINSTER,WILTSHIRE,BA12 0LY,WILTSHIRE UA,ST9740041200,WYLYE,43/23-,SW,EA South West Region,051009,2,GROUNDWATER,3.0,Into land / infiltration system,12/17/12 00:00:00,12/17/12 00:00:00,,E7,VARIED UNDER EPR 2010,1,U,Sewage - not water company,ST9740041200,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9740041200,397400,141200,"('051009', 2)"
MESSRS F J LEWIS & SONS,PARK FARM,A0,Domestic property (single) (incl farm house),GARSDON,MALMESBURY,,WILTSHIRE,SN16 9NP,WILTSHIRE UA,ST9770087370,TETBURY AVON,53/06-,SW,EA South West Region,021161,1,TRIB OF RIVER BRISTOL AVON,1.0,Freshwater river,,08/31/65 00:00:00,,B1,TRANSFERRED FROM R(PP)A 1951-1961,1,U,Sewage - not water company,ST9770087370,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9770087370,397700,187370,"('021161', 1)"
D F LEWIS,PARK FARM,A0,Domestic property (single) (incl farm house),GARSDON,MALMESBURY,,WILTSHIRE,SN16 9NP,WILTSHIRE UA,ST9770087370,TETBURY AVON,53/06-,SW,EA South West Region,103211,1,TRIBUTARY OF WOODBRIDGE BROOK,1.0,Freshwater river,10/31/05 00:00:00,10/31/05 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,U,Sewage - not water company,ST9782087310,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9782087320,397700,187370,"('103211', 1)"
HILLS WASTE SOLUTIONS LTD,COMPTON BASSETT QUARRY,08,Mineral/Gravel Extraction/Quarrying,COMPTON BASSETT,CALNE,WILTSHIRE,,,WILTSHIRE UA,SU0198070370,MARDEN,53/08-,SW,EA South West Region,100367,2,HONEYBALL WATERCOURSE (S),1.0,Freshwater river,07/30/03 00:00:00,07/30/03 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",2,T,Trade,SU0203070560,1,TD,"TRADE DISCHARGES - SITE DRAINAGE (CONTAM SURFACE WATER, NOT WASTE SIT",SU0209070650,401980,170370,"('100367', 2)"
HILLS QUARRY PRODUCTS LIMITED,COMPTON BASSETT QUARRY,08,Mineral/Gravel Extraction/Quarrying,COMPTON BASSETT,CALNE,WILTSHIRE,,,WILTSHIRE UA,SU0198070370,MARDEN,53/08-,SW,EA South West Region,NPSWQD004576,1,ABBERD BROOK,1.0,Freshwater river,01/22/09 00:00:00,05/01/09 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,T,Trade,SU0235572154,1,TG,TRADE DISCHARGES - MINERAL WORKINGS,SU0235572154,401980,170370,"('NPSWQD004576', 1)"
HILLS WASTE SOLUTIONS LTD,COMPTON BASSETT QUARRY,08,Mineral/Gravel Extraction/Quarrying,COMPTON BASSETT,CALNE,WILTSHIRE,,,WILTSHIRE UA,SU0198070370,MARDEN,53/08-,SW,EA South West Region,100367,2,HONEYBALL WATERCOURSE (S),1.0,Freshwater river,07/30/03 00:00:00,07/30/03 00:00:00,,E4,"NEW CONSENT (WRA 91, S88 & SCHED 10 AS AMENDED BY ENV ACT 1995)",1,T,Trade,SU0180070440,1,TG,TRADE DISCHARGES - MINERAL WORKINGS,SU0182070510,401980,170370,"('100367', 2)"
ANCALA WATER SERVICES (ESTATES) LTD,"SOUTHERN POL POINT, WESTDOWN CAMP",84,Prisons/MOD Sites/Public Admin+Defence+Comp Social Sec,CANDOWN ROAD,TILSHEAD,SALISBURY,WILTSHIRE,SP3 4SJ,WILTSHIRE UA,SU0392047520,WYLYE,43/23-,SW,EA South West Region,043396,2,GW VIA INFILTRATION SYSTEM,3.0,Into land / infiltration system,06/08/17 00:00:00,06/08/17 00:00:00,,E7,VARIED UNDER EPR 2010,1,T,Trade,SU0427047769,1,TC,TRADE DISCHARGES - SITE DRAINAGE,SU0417047730,403920,147520,"('043396', 2)"
ANCALA WATER SERVICES (ESTATES) LTD,"SOUTHERN POL POINT, WESTDOWN CAMP",84,Prisons/MOD Sites/Public Admin+Defence+Comp Social Sec,CANDOWN ROAD,TILSHEAD,SALISBURY,WILTSHIRE,SP3 4SJ,WILTSHIRE UA,SU0392047520,WYLYE,43/23-,SW,EA South West Region,043398,1,DISCHARGE TO SOAKAWAY,3.0,Into land / infiltration system,03/28/96 00:00:00,03/24/96 00:00:00,,N3,"NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)",1,T,Trade,SU0422047730,1,TD,"TRADE DISCHARGES - SITE DRAINAGE (CONTAM SURFACE WATER, NOT WASTE SIT",SU0421047730,403920,147520,"('043398', 1)"
BRICKYARD MANAGEMENT 2000 LTD,THE OLD BRICKYARD,A0,Domestic property (single) (incl farm house),ASHTON KEYNES,SWINDON,WILTSHIRE,-,SN6 6QR,WILTSHIRE UA,SU0434094680,,,TH,EA Thames Region,CTWC.0875,1,NORTH END DITCH,1.0,Freshwater river,06/03/86 00:00:00,06/03/86 00:00:00,,B5,TRANSFERRED FROM COPA 1974,1,U,Sewage - not water company,SU0434094710,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,SU0434094710,404340,194680,"('CTWC.0875', 1)"
BRICKYARD MANAGEMENT 2000 LTD,THE OLD BRICKYARD,A0,Domestic property (single) (incl farm house),ASHTON KEYNES,SWINDON,WILTSHIRE,-,SN6 6QR,WILTSHIRE UA,SU0434094680,,,TH,EA Thames Region,CTWC.0874,1,NORTH END DITCH,1.0,Freshwater river,06/03/86 00:00:00,06/03/86 00:00:00,,B5,TRANSFERRED FROM COPA 1974,1,D,Miscellaneous,SU0436094680,1,DE,MISCELLANEOUS DISCHARGES - SURFACE WATER,SU0436094680,404340,194680,"('CTWC.0874', 1)"
