COMPANY_NAME,DISCHARGE_SITE_NAME,DISCHARGE_SITE_TYPE_CODE,DSI_TYPE_DESCRIPTION,ADD_OF_DISCHARGE_SITE_LINE_1,ADD_OF_DISCHARGE_SITE_LINE_2,ADD_OF_DISCHARGE_SITE_LINE_3,ADD_OF_DISCHARGE_SITE_LINE_4,ADD_OF_DISCHARGE_SITE_PCODE,DISTRICT_COUNCIL,DISCHARGE_NGR,CATC_NAME,CATCHMENT_CODE,EA_REGION,SOURCE,PERMIT_NUMBER,PERMIT_VERSION,RECEIVING_WATER,RECEIVING_ENVIRON_TYPE_CODE,REC_ENV_CODE_DESCRIPTION,ISSUED_DATE,EFFECTIVE_DATE,REVOCATION_DATE,STATUS_OF_PERMIT,STATUS_DESCRIPTION,OUTLET_NUMBER,OUTLET_TYPE_CODE,OUTLET_TYPE_DESCRIPTION,OUTLET_GRID_REF,EFFLUENT_NUMBER,EFFLUENT_TYPE,EFF_TYPE_DESCRIPTION,EFFLUENT_GRID_REF,DISCHARGE_EASTING,DISCHARGE_NORTHING,permit_pair
ANCALA WATER SERVICES (ESTATES) LTD,HARMAN LINES WWTW,84,Prisons/MOD Sites/Public Admin+Defence+Comp Social Sec,SACK HILL,IMBER ROAD,WARMINSTER,WILTSHIRE,BA12 0DZ,WILTSHIRE UA,ST8993046460,WYLYE,43/23-,SW,EA South West Region,043173,2,GW VIA INFILTRATION SYSTEM,3.0,Into land / infiltration system,06/08/17 00:00:00,06/08/17 00:00:00,,E7,VARIED UNDER EPR 2010,1,U,Sewage - not water company,ST9007046520,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9007046520,389930,146460,"('043173', 2)"
"THE PRINCIPAL, LACKHAM COLLEGE OF AGRICULTURE",LACKHAM COLLEGE,85,Education/Nursery/School/College/Uni/Training Venue,LACOCK,CHIPPENHAM,WILTSHIRE,,,WILTSHIRE UA,ST9105070200,BRISTOL AVON UPPER REACH,53/01C,SW,EA South West Region,021497,1,TRIB OF RIVER BRISTOL AVON,1.0,Freshwater river,,04/01/70 00:00:00,,B1,TRANSFERRED FROM R(PP)A 1951-1961,1,T,Trade,ST9260070100,1,TF,TRADE DISCHARGES - PROCESS EFFLUENT - NOT WATER COMPANY,ST9260070100,391050,170200,"('021497', 1)"
WILTSHIRE COLLEGE,LACKHAM COLLEGE,85,Education/Nursery/School/College/Uni/Training Venue,LACOCK,CHIPPENHAM,WILTSHIRE,,,WILTSHIRE UA,ST9105070200,BRISTOL AVON UPPER REACH,53/01C,SW,EA South West Region,010596,1,RIVER AVON,1.0,Freshwater river,11/10/93 00:00:00,11/09/93 00:00:00,,N3,"NEW CONSENT, BY APPLICATION (WRA 91, SECTION 113 & SCHED 12)",1,U,Sewage - not water company,ST9245070320,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9245070320,391050,170200,"('010596', 1)"
MR J EAVIS,SOUTHSIDE FARM,01,Farms (not house)/Crop + Animal Rearing/Plant Nursery,CORSTON,WILTS,,,,WILTSHIRE UA,ST9240083800,BRISTOL AVON UPPER REACH,53/01C,SW,EA South West Region,020699,1,TRIB OF RIVER BRISTOL AVON,1.0,Freshwater river,,05/31/66 00:00:00,,B1,TRANSFERRED FROM R(PP)A 1951-1961,1,U,Sewage - not water company,ST9240083810,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9240083810,392400,183800,"('020699', 1)"
MR J EAVIS,SOUTHSIDE FARM,01,Farms (not house)/Crop + Animal Rearing/Plant Nursery,CORSTON,WILTS,,,,WILTSHIRE UA,ST9240083800,BRISTOL AVON UPPER REACH,53/01C,SW,EA South West Region,020815,1,TRIB OF RIVER AVON,1.0,Freshwater river,,12/31/63 00:00:00,,B1,TRANSFERRED FROM R(PP)A 1951-1961,1,U,Sewage - not water company,ST9240083810,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9240083810,392400,183800,"('020815', 1)"
BROWN BUILDERS,LAND TO THE REAR OF WESSEX,A0,Domestic property (single) (incl farm house),TARRANT GUNVILLE,BLANDFORD FORUM,,DORSET,DT11 8JN,DORSET UA,ST9257012820,STOUR-CALE TO ALLEN,43/34-,SW,EA South West Region,040958,2,SOAKAWAY,3.0,Into land / infiltration system,12/17/12 00:00:00,12/17/12 00:00:00,,E7,VARIED UNDER EPR 2010,1,U,Sewage - not water company,ST9263012860,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9263012860,392570,112820,"('040958', 2)"
BROWN BUILDERS,LAND TO THE REAR OF WESSEX,A0,Domestic property (single) (incl farm house),TARRANT GUNVILLE,BLANDFORD FORUM,,DORSET,DT11 8JN,DORSET UA,ST9257012820,STOUR-CALE TO ALLEN,43/34-,SW,EA South West Region,040960,2,SOAKAWAY,3.0,Into land / infiltration system,12/17/12 00:00:00,12/17/12 00:00:00,,E7,VARIED UNDER EPR 2010,1,U,Sewage - not water company,ST9263012860,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9263012860,392570,112820,"('040960', 2)"
MR AND MRS R W TURNER,LAND TO THE REAR OF WESSEX,A0,Domestic property (single) (incl farm house),TARRANT GUNVILLE,BLANDFORD FORUM,,DORSET,DT11 8JN,DORSET UA,ST9257012820,STOUR-CALE TO ALLEN,43/34-,SW,EA South West Region,040961,2,SOAKAWAY,3.0,Into land / infiltration system,12/17/12 00:00:00,12/17/12 00:00:00,,E7,VARIED UNDER EPR 2010,1,U,Sewage - not water company,ST9263012860,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9263012860,392570,112820,"('040961', 2)"
MESSRS P W DOEL & SONS (P J AND A A DOEL),HACK FARM,01,Farms (not house)/Crop + Animal Rearing/Plant Nursery,LOWER FOREST,MELKSHAM,WILTSHIRE,,,WILTSHIRE UA,ST9320065800,BRISTOL AVON UPPER REACH,53/01C,SW,EA South West Region,021724,1,FOREST BROOK,1.0,Freshwater river,08/16/93 00:00:00,08/16/93 00:00:00,,R2,"REVISED CONSENT, BY NOTICE (SECTION 37(1))",1,U,Sewage - not water company,ST9320065800,1,UA,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - NOT WATER COMPANY,ST9320065800,393200,165800,"('021724', 1)"
MESSRS P W DOEL & SONS (P J AND A A DOEL),HACK FARM,01,Farms (not house)/Crop + Animal Rearing/Plant Nursery,LOWER FOREST,MELKSHAM,WILTSHIRE,,,WILTSHIRE UA,ST9320065800,BRISTOL AVON UPPER REACH,53/01C,SW,EA South West Region,021723,1,TRIB OF RIVER BRISTOL AVON,1.0,Freshwater river,08/16/93 00:00:00,08/16/93 00:00:00,,R2,"REVISED CONSENT, BY NOTICE (SECTION 37(1))",2,T,Trade,ST9330065700,1,AA,AGRICULTURE - ARABLE FARMING,ST9330065700,393200,165800,"('021723', 1)"
